time	reported I	 reported*lambda	predicted
03/22/2020	14.0	50.75132221693881	50.75132221693881
03/23/2020	16.0	58.00151110507293	50.88439242561353
03/24/2020	18.0	31.17166179168002	50.602223817779745
03/25/2020	8.9	15.412654996997343	50.14672896060041
03/26/2020	29.0	50.22101066437337	49.63855187208193
03/27/2020	25.619	44.3659335245028	49.17823204565511
03/28/2020	24.83	42.99957568263416	49.78440462398797
03/29/2020	26.407	45.730559607383015	50.77964279929428
03/30/2020	51.0	88.31970840976005	52.052233555725785
03/31/2020	53.0	53.0	53.85004928353342
04/01/2020	61.0	61.0	55.975669404361966
04/02/2020	66.0	66.0	58.233512259676864
04/03/2020	75.0	75.0	60.48720443179369
04/04/2020	57.433	57.433	62.56179802474312
04/05/2020	62.897	62.897	64.5204105384622
04/06/2020	61.692	61.692	66.3404358736045
04/07/2020	57.584	64.89579336748619	68.12763742700093
04/08/2020	55.086	62.080606999189776	69.8615470011831
04/09/2020	59.562	67.1249521491076	71.51222581900714
04/10/2020	60.928	68.66440154025767	73.04958663922551
04/11/2020	65.453	73.76396852045835	74.45192775102794
04/12/2020	75.951	85.59496391452387	75.7169634473293
04/13/2020	72.652	81.87706966752233	76.70545095791154
04/14/2020	71.173	72.83433601617577	77.62703505946129
04/15/2020	68.731	70.33533430834413	78.48587927003803
04/16/2020	56.576	57.8966095914344	79.28901556899211
04/17/2020	74.236	75.96883324430367	80.0283784724316
04/18/2020	77.335	79.14017079244871	80.69712818762363
04/19/2020	91.585	93.72279746591344	81.29748575780084
04/20/2020	93.546	95.72957156462674	81.8169378186614
04/21/2020	93.26	93.26	82.28660422815486
04/22/2020	92.593	92.593	82.71521650042932
04/23/2020	84.07	84.07	83.11609956709152
04/24/2020	91.503	91.503	83.4800819793027
04/25/2020	107.23	107.23	83.80392708100682
04/26/2020	99.992	99.992	84.09387488102087
04/27/2020	108.25	108.25	84.35068111316099
04/28/2020	108.6	108.6	83.28081716325492
04/29/2020	105.08	105.08	81.272321918849
04/30/2020	112.45	112.45	78.62860182523997
05/01/2020	103.38	103.38	75.57741004772943
05/02/2020	114.07	114.07	72.27344003632003
05/03/2020	84.451	84.451	68.84584751485728
05/04/2020	12.991	12.991	65.38538306134167
05/05/2020	3.5822	9.49629358859418	61.96878744880619
05/06/2020	2.6191	6.943147378115966	58.63952760570199
05/07/2020	0.0	0.0	55.44007695842268
05/08/2020	0.0	0.0	52.39077606003608
05/09/2020	0.0	0.0	49.507766632813336
05/10/2020	0.0	0.0	46.79520498410608
05/11/2020	0.0	0.0	44.261552281100286
05/12/2020	0.0	0.0	41.9377203609063
05/13/2020	0.0	0.0	39.82658839132402
05/14/2020	6.594	6.901693197234946	37.920477656875825
05/15/2020	18.98	19.865656184943777	36.22987253649122
05/16/2020	21.293	22.286586783245934	34.76243559281013
05/17/2020	32.208	33.71090908349152	33.49729728914816
05/18/2020	47.471	49.686120377000314	32.43198941674527
05/19/2020	54.079	54.079	33.20138842976373
05/20/2020	51.265	51.265	35.504497319281214
05/21/2020	62.212	62.212	39.12842023061514
05/22/2020	99.81	99.81	43.74410822549953
05/23/2020	103.65	103.65	49.046151990065965
05/24/2020	112.93	112.93	54.623718193117305
05/25/2020	109.85	109.85	60.190807968796015
05/26/2020	98.268	98.268	65.80537533240265
05/27/2020	86.459	86.459	71.54223529111401
05/28/2020	87.098	87.098	77.3001345028116
05/29/2020	99.018	99.018	82.8945884343219
05/30/2020	94.127	94.127	88.24519798303325
05/31/2020	89.055	89.055	93.32314623092063
06/01/2020	86.115	86.115	98.13430934735877
06/02/2020	85.888	109.95556860767967	102.72013656665183
06/03/2020	57.605	73.74709539918715	107.0761162087824
06/04/2020	73.599	94.22294027054554	111.23902437296859
06/05/2020	91.882	117.6292096079874	115.21850745168426
06/06/2020	99.662	127.5893242196648	119.04525972020105
06/07/2020	101.81	130.33923761116648	122.69254203382278
06/08/2020	102.81	131.61945799827154	126.13100301929461
06/09/2020	98.161	124.33581345939592	129.48965531222865
06/10/2020	103.37	130.93380301033767	132.74718352269542
06/11/2020	112.68	142.72633184874576	134.92801046011516
06/12/2020	120.25	152.314886446678	136.38073002964424
06/13/2020	116.38	147.41294373941275	137.32023870332003
06/14/2020	98.999	125.39726772003887	137.87794539727372
06/15/2020	91.388	115.7567803957506	138.15703048807762
06/16/2020	76.274	83.0385687541415	138.27227605994275
06/17/2020	95.673	104.15802224106484	138.28205687267516
06/18/2020	115.89	126.16802230009516	138.22362262482153
06/19/2020	123.3	134.23519846062413	138.07467724514729
06/20/2020	131.23	142.8684922464534	137.92881622687986
06/21/2020	156.22	170.07479889309573	137.75756274026583
06/22/2020	147.85	160.96248250124313	137.59673986203143
