MN_travel run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: true
randomize false
model2 false
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
102	7842616.741361995	0.10%	38.70%	115.29%	702.3s
103	7833627.203224374	0.11%	38.66%	115.39%	704.5s
104	7824528.00540594	0.12%	38.70%	115.46%	695.7s
105	7805626.841504658	0.24%	38.84%	115.98%	677.3s
106	7792418.262475637	0.17%	38.88%	116.08%	666.1s
107	7779768.537992068	0.16%	38.84%	115.94%	689.6s
108	7767009.892832785	0.16%	38.90%	115.80%	692.0s
109	7755041.408615109	0.15%	38.90%	115.88%	712.5s
110	7743885.409994558	0.14%	38.91%	115.88%	707.4s
111	7733670.370062666	0.13%	38.89%	115.93%	704.8s
112	7724328.038705783	0.12%	38.91%	115.91%	700.9s
113	7715184.442518988	0.12%	38.84%	115.91%	708.3s
114	7701907.843271394	0.17%	38.82%	115.82%	690.3s
115	7690441.947352435	0.15%	38.74%	115.82%	691.0s
116	7679399.886004356	0.14%	38.66%	115.38%	711.2s
117	7671513.137248909	0.10%	38.64%	115.46%	713.0s
118	7664846.688969613	0.09%	38.62%	115.42%	707.9s
119	7658954.158680668	0.08%	38.61%	115.52%	732.6s
120	7652640.4232189385	0.08%	38.61%	115.38%	704.9s
121	7644584.699342722	0.11%	38.59%	115.43%	711.5s
122	7638772.920258863	0.08%	38.56%	115.50%	730.1s
123	7630894.899293826	0.10%	38.56%	115.48%	709.2s
124	7626621.185900318	0.06%	38.55%	115.50%	721.9s
125	7617403.92884431	0.12%	38.54%	115.48%	730.6s
126	7611138.561947759	0.08%	38.53%	115.46%	719.6s
127	7605458.15917428	0.07%	38.57%	115.52%	720.1s
128	7600077.67112613	0.07%	38.50%	115.39%	721.1s
129	7593561.859829638	0.09%	38.50%	115.40%	723.4s
130	7585280.762283484	0.11%	38.50%	115.21%	731.7s
131	7578737.602794273	0.09%	38.47%	115.16%	701.3s
132	7572327.135708052	0.08%	38.44%	115.16%	718.9s
133	7565074.693245594	0.10%	38.36%	115.12%	703.5s
134	7557459.494338034	0.10%	38.45%	115.23%	720.3s
135	7545797.647669904	0.15%	38.37%	115.24%	711.0s
136	7537659.935771768	0.11%	38.32%	115.21%	721.0s
137	7530482.57802583	0.10%	38.29%	115.22%	716.5s
138	7523655.558154824	0.09%	38.30%	115.30%	719.4s
139	7517447.152428769	0.08%	38.22%	115.22%	711.9s
140	7511272.040722892	0.08%	38.21%	115.27%	727.2s
141	7504848.938228222	0.09%	38.18%	115.28%	731.6s
142	7498789.149989068	0.08%	38.17%	115.22%	725.7s
143	7492001.150986012	0.09%	38.13%	115.26%	715.3s
144	7484835.907666233	0.10%	38.08%	115.21%	729.7s
145	7474953.400618821	0.13%	38.19%	115.53%	728.6s
146	7467200.471992555	0.10%	38.09%	115.40%	726.6s
147	7460673.177598346	0.09%	38.06%	115.42%	730.9s
148	7454809.526814823	0.08%	38.04%	115.41%	740.3s
149	7448472.668221349	0.09%	37.98%	115.38%	733.0s
150	7442473.928484292	0.08%	37.97%	115.35%	718.2s
151	7434882.201988507	0.10%	38.01%	115.54%	727.4s
152	7427763.528439726	0.10%	37.95%	115.44%	718.2s
153	7421065.190099605	0.09%	37.92%	115.39%	736.6s
154	7406581.0622838335	0.20%	37.97%	115.40%	708.8s
155	7398230.0807454195	0.11%	37.85%	115.23%	529.6s
156	7390785.95194698	0.10%	37.87%	115.30%	513.1s
157	7379369.362272055	0.15%	37.81%	115.33%	550.3s
158	7373345.3374160025	0.08%	37.76%	115.27%	587.4s
159	7368119.891193017	0.07%	37.64%	115.16%	733.7s
160	7363202.615336811	0.07%	37.65%	115.15%	676.7s
161	7357142.329920456	0.08%	37.65%	115.21%	672.1s
162	7351565.385587465	0.08%	37.64%	115.24%	667.4s
163	7343214.388558645	0.11%	37.62%	115.35%	644.8s
164	7338479.18400471	0.06%	37.61%	115.24%	643.6s
165	7333994.5267377645	0.06%	37.56%	115.24%	713.2s
166	7329228.835437109	0.06%	37.58%	115.30%	680.7s
167	7323026.397455041	0.08%	37.49%	115.21%	630.5s
168	7314110.204891973	0.12%	37.50%	115.13%	590.0s
169	7309159.686750786	0.07%	37.48%	115.17%	574.9s
170	7304425.62604844	0.06%	37.48%	114.95%	1005.6s
171	7297516.737753276	0.09%	37.47%	115.02%	744.9s
172	7291101.884821125	0.09%	37.46%	114.91%	723.8s
173	7286604.066894552	0.06%	37.42%	114.80%	734.4s
174	7282639.803971875	0.05%	37.42%	114.68%	715.2s
175	7276477.632908612	0.08%	37.41%	114.73%	659.2s
176	7270076.930878141	0.09%	37.40%	114.54%	664.8s
177	7262904.284458321	0.10%	37.36%	114.36%	652.0s
178	7253866.7730967	0.12%	37.33%	114.28%	644.0s
179	7248530.3867181195	0.07%	37.26%	114.25%	654.6s
180	7241867.622384749	0.09%	37.29%	114.00%	663.3s
181	7235432.972946905	0.09%	37.27%	113.94%	659.9s
182	7229223.572180859	0.09%	37.25%	113.70%	658.2s
183	7223675.40805896	0.08%	37.21%	113.67%	668.6s
184	7218935.123216687	0.07%	37.20%	113.46%	684.3s
185	7214929.381178775	0.06%	37.20%	113.49%	677.8s
186	7210571.70122518	0.06%	37.18%	113.32%	694.4s
