time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
77	51.8285746729178	77.30	67.05	96.52	0.00	0.34	Infinity	58.58	52.82	18.58	0.00	1.06	Infinity	4.50	2.97	33.95	0.00	7.78	Infinity	0.00	0.20	Infinity	20.99	17.49	33.26	7.00	2.59	62.96	19.06	1.53	125.16	0.00	9.73	Infinity
78	62.70394791971524	86.80	72.24	100.31	0.00	0.36	Infinity	67.96	55.59	34.37	0.00	1.18	Infinity	2.17	2.87	32.45	0.00	8.32	Infinity	0.00	0.20	Infinity	24.10	17.50	54.65	7.00	2.62	62.62	20.42	1.75	124.47	0.00	9.92	Infinity
79	54.45857356776101	78.06	69.77	104.33	0.00	0.38	Infinity	60.78	58.51	7.03	0.00	1.32	Infinity	2.32	2.76	19.28	0.00	8.90	Infinity	0.00	0.20	Infinity	22.48	17.51	44.09	6.00	2.64	56.03	24.50	1.99	125.05	0.00	10.12	Infinity
80	58.60309277693719	87.51	66.97	108.61	0.00	0.40	Infinity	56.94	61.59	15.41	0.00	1.47	Infinity	1.20	2.66	120.94	0.00	9.52	Infinity	0.00	0.20	Infinity	21.17	17.52	34.43	6.00	2.66	55.70	25.86	2.27	124.18	0.00	10.32	Infinity
81	69.95832533288564	86.52	80.86	113.15	0.00	0.43	Infinity	75.10	64.82	25.84	3.99	1.64	117.77	0.09	2.56	2719.80	0.00	10.18	Infinity	0.00	0.20	Infinity	21.86	17.52	39.57	3.55	2.68	24.53	32.36	2.59	125.25	1.47	10.54	1248.83
82	63.297220204971644	77.56	81.62	117.98	0.00	0.46	Infinity	73.39	68.23	13.28	3.99	1.82	108.39	0.52	2.45	373.67	0.00	10.90	Infinity	0.00	0.19	Infinity	23.78	17.54	52.38	3.76	2.68	28.58	30.98	2.95	123.19	3.62	10.76	397.38
83	53.82049145279676	67.27	80.00	123.12	0.00	0.48	Infinity	67.12	71.82	12.21	3.98	2.03	97.35	0.97	2.36	264.10	0.00	11.66	Infinity	0.00	0.19	Infinity	21.03	17.55	32.22	6.07	2.70	89.62	22.64	3.35	85.19	3.68	10.99	402.98
84	53.79237232021393	65.89	81.64	128.59	0.00	0.52	Infinity	68.44	75.59	18.25	1.99	2.27	27.51	1.23	2.26	153.39	0.00	12.47	Infinity	0.00	0.19	Infinity	23.68	17.55	50.30	6.18	2.71	90.65	21.59	3.82	82.32	6.44	11.23	150.80
85	53.81023945012956	75.98	70.82	134.42	0.00	0.55	Infinity	65.25	79.56	38.27	1.99	2.52	53.30	0.00	2.17	Infinity	0.00	13.34	Infinity	0.00	0.19	Infinity	15.51	17.56	25.59	4.48	2.72	63.40	18.42	4.34	76.42	6.63	11.47	148.09
86	47.11437930560876	53.61	87.88	140.64	3.20	0.59	260.19	78.49	83.73	11.66	1.99	2.81	81.98	0.00	2.09	Infinity	5.94	14.27	280.39	0.00	0.19	Infinity	14.71	17.56	37.67	4.70	2.74	67.31	23.77	4.94	79.21	7.52	11.73	113.47
