MN_start80 run 7
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize true
Iteration	Objective	Obj. change	Error	CPU time (s)
1	1.2211313089937884E8	85.64%	102.20%	0.9s
2	5.9600207092824705E7	51.19%	70.72%	0.9s
3	3.02956002154971E7	49.17%	53.40%	1.0s
4	2.1121348706009973E7	30.28%	46.66%	1.0s
5	1.785811190822835E7	15.45%	43.37%	1.0s
6	1.6325983872883111E7	8.58%	41.29%	1.0s
7	1.5680369445754461E7	3.95%	40.40%	1.0s
8	1.525371225117913E7	2.72%	39.44%	1.0s
9	1.5011429968010612E7	1.59%	38.81%	1.1s
10	1.478795842910527E7	1.49%	38.25%	1.1s
11	1.4636255184456464E7	1.03%	37.76%	1.1s
12	1.4431921757426053E7	1.40%	37.26%	1.1s
13	1.4284533730229104E7	1.02%	36.92%	1.1s
14	1.4160851367854526E7	0.87%	36.66%	1.1s
15	1.4029111348034605E7	0.93%	36.35%	1.2s
16	1.3884424942574967E7	1.03%	36.07%	1.2s
17	1.3755836808431493E7	0.93%	35.79%	1.2s
18	1.3636201653930677E7	0.87%	35.51%	1.2s
19	1.3528260975206155E7	0.79%	35.26%	1.2s
20	1.3442511092156066E7	0.63%	35.03%	1.2s
21	1.3338162375238067E7	0.78%	34.80%	1.2s
22	1.327384364062911E7	0.48%	34.64%	1.2s
23	1.3209937067555217E7	0.48%	34.48%	1.2s
24	1.3125955721639045E7	0.64%	34.24%	1.2s
25	1.3061262542236287E7	0.49%	34.03%	1.2s
26	1.2974901917827444E7	0.66%	33.80%	1.2s
27	1.2930817723549966E7	0.34%	33.67%	1.2s
28	1.2882625457963176E7	0.37%	33.53%	1.3s
29	1.285111715875502E7	0.24%	33.44%	1.3s
30	1.2807907508277895E7	0.34%	33.31%	1.3s
31	1.27730539023205E7	0.27%	33.19%	1.3s
32	1.272842606038304E7	0.35%	33.03%	1.3s
33	1.2703751958401043E7	0.19%	32.95%	1.3s
34	1.266872188130155E7	0.28%	32.83%	1.3s
35	1.2639394852846676E7	0.23%	32.72%	1.3s
36	1.2606485889299663E7	0.26%	32.61%	1.4s
37	1.257007990157237E7	0.29%	32.51%	1.4s
38	1.2552343236067276E7	0.14%	32.45%	1.3s
39	1.252887936124271E7	0.19%	32.37%	1.3s
40	1.250537027284267E7	0.19%	32.29%	1.3s
41	1.2473077076752933E7	0.26%	32.20%	1.3s
42	1.2460631324103558E7	0.10%	32.15%	1.3s
43	1.2434229699887339E7	0.21%	32.07%	1.3s
44	1.2422708016951557E7	0.09%	32.02%	1.3s
45	1.2400366984804556E7	0.18%	31.95%	1.3s
46	1.2389046668667452E7	0.09%	31.91%	1.3s
47	1.2365342689355144E7	0.19%	31.84%	1.3s
48	1.2350379455738388E7	0.12%	31.79%	1.3s
49	1.2330225104567517E7	0.16%	31.73%	1.3s
50	1.2319957185511597E7	0.08%	31.67%	1.3s
51	1.2293756124424376E7	0.21%	31.58%	1.3s
52	1.2276487020274008E7	0.14%	31.53%	1.3s
53	1.22521306552473E7	0.20%	31.47%	1.3s
54	1.2242254504425535E7	0.08%	31.43%	1.3s
55	1.2222366857182374E7	0.16%	31.39%	1.3s
56	1.2213557330119625E7	0.07%	31.36%	1.3s
57	1.219528971973308E7	0.15%	31.31%	1.3s
58	1.2184672943326453E7	0.09%	31.28%	1.3s
59	1.2172676564030275E7	0.10%	31.26%	1.3s
60	1.2157538199429268E7	0.12%	31.22%	1.3s
61	1.2148423390965736E7	0.07%	31.20%	1.3s
62	1.213172163429545E7	0.14%	31.15%	1.3s
63	1.2118432381344214E7	0.11%	31.11%	1.3s
64	1.2102399104229495E7	0.13%	31.08%	1.3s
65	1.2090280889998836E7	0.10%	31.04%	1.4s
66	1.2074798398340695E7	0.13%	31.00%	1.4s
67	1.2064386137829352E7	0.09%	30.96%	1.4s
68	1.2055327079998957E7	0.08%	30.94%	1.4s
69	1.2046489426199608E7	0.07%	30.92%	1.4s
70	1.2040210785478726E7	0.05%	30.91%	1.4s
71	1.2029084603940351E7	0.09%	30.88%	1.4s
72	1.2025000129595153E7	0.03%	30.88%	1.4s
73	1.2015186950015198E7	0.08%	30.86%	1.4s
74	1.1997985647273337E7	0.14%	30.83%	1.4s
75	1.1982464454783702E7	0.13%	30.76%	1.4s
76	1.1971479065786159E7	0.09%	30.75%	1.4s
77	1.1960282006585542E7	0.09%	30.70%	1.4s
78	1.1948284778898336E7	0.10%	30.67%	1.4s
79	1.194031086327202E7	0.07%	30.65%	1.4s
80	1.1934622431659756E7	0.05%	30.64%	1.4s
81	1.1928956015016979E7	0.05%	30.62%	1.4s
82	1.1920504648153912E7	0.07%	30.61%	1.4s
83	1.1917133660113601E7	0.03%	30.60%	1.4s
84	1.1908125318479307E7	0.08%	30.58%	1.4s
85	1.1904399470389355E7	0.03%	30.57%	1.4s
86	1.1897238386515256E7	0.06%	30.56%	1.4s
87	1.189422292554292E7	0.03%	30.54%	1.4s
88	1.1886330840498392E7	0.07%	30.53%	1.4s
89	1.1882889486442143E7	0.03%	30.52%	1.4s
90	1.187573573509523E7	0.06%	30.50%	1.4s
91	1.1873614902706414E7	0.02%	30.49%	1.4s
92	1.1866826019108469E7	0.06%	30.48%	1.4s
93	1.1864768520022824E7	0.02%	30.47%	1.4s
94	1.185811317476575E7	0.06%	30.46%	1.4s
95	1.1855618174574997E7	0.02%	30.45%	1.5s
96	1.1848617782530045E7	0.06%	30.43%	1.4s
97	1.1846482662659582E7	0.02%	30.43%	1.4s
98	1.1839484156362254E7	0.06%	30.42%	1.4s
99	1.1837592026731579E7	0.02%	30.41%	1.4s
100	1.18304458044397E7	0.06%	30.40%	1.4s
101	1.1828262369326385E7	0.02%	30.39%	1.4s
102	1.1821336210433355E7	0.06%	30.38%	1.4s
103	1.1818745309661698E7	0.02%	30.37%	1.4s
104	1.1810938079923717E7	0.07%	30.35%	1.4s
105	1.1808563597814636E7	0.02%	30.34%	1.4s
106	1.1803664526431825E7	0.04%	30.34%	1.5s
107	1.1797632625239892E7	0.05%	30.32%	1.5s
108	1.1794682316704884E7	0.03%	30.31%	1.5s
109	1.1788504674460137E7	0.05%	30.30%	1.4s
110	1.1782644801011795E7	0.05%	30.30%	1.4s
111	1.1775335093906531E7	0.06%	30.28%	1.4s
112	1.1770984136312164E7	0.04%	30.27%	1.4s
113	1.1767503891346117E7	0.03%	30.26%	1.4s
114	1.176574972838615E7	0.01%	30.26%	1.4s
115	1.1759652465832992E7	0.05%	30.25%	1.4s
116	1.1757844408968331E7	0.02%	30.24%	1.5s
117	1.175360279308688E7	0.04%	30.23%	1.5s
118	1.1750653965548905E7	0.03%	30.23%	1.5s
119	1.173721077132321E7	0.11%	30.18%	1.5s
120	1.1735369476096235E7	0.02%	30.18%	1.5s
121	1.1732626860553207E7	0.02%	30.17%	1.5s
122	1.1728822057761045E7	0.03%	30.16%	1.4s
123	1.1724884505855946E7	0.03%	30.11%	1.5s
124	1.1721324530057082E7	0.03%	30.11%	1.4s
125	1.1719680777185442E7	0.01%	30.10%	1.5s
126	1.1714616836383557E7	0.04%	30.10%	1.4s
127	1.1708258260925384E7	0.05%	30.06%	1.5s
128	1.1705213720303949E7	0.03%	30.06%	1.4s
129	1.1700952416429454E7	0.04%	30.05%	1.5s
130	1.1699079568744464E7	0.02%	30.05%	1.5s
131	1.1694324006436806E7	0.04%	30.03%	1.5s
132	1.168999560292596E7	0.04%	30.03%	1.5s
133	1.168486334307144E7	0.04%	30.01%	1.5s
134	1.1683621763548657E7	0.01%	30.01%	1.4s
135	1.1680031513325958E7	0.03%	29.99%	1.4s
136	1.1677775937369041E7	0.02%	29.98%	1.4s
137	1.167488350197916E7	0.02%	29.97%	1.5s
138	1.167381678295597E7	0.01%	29.97%	1.5s
CPU time: 3.07min
