MN_start80 run 6
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize true
Iteration	Objective	Obj. change	Error	CPU time (s)
1	6.390190712366372E7	89.33%	87.59%	0.9s
2	3.4427796922158875E7	46.12%	61.27%	0.9s
3	2.601453702765037E7	24.44%	52.14%	1.0s
4	2.3106199875114862E7	11.18%	47.81%	1.0s
5	2.200645728507063E7	4.76%	45.85%	1.0s
6	2.125791161684355E7	3.40%	44.51%	1.1s
7	2.057749485603478E7	3.20%	43.22%	1.1s
8	2.013693339126081E7	2.14%	42.41%	1.1s
9	1.9705485323289905E7	2.14%	41.65%	1.1s
10	1.9258885397337984E7	2.27%	41.07%	1.1s
11	1.8627691214496374E7	3.28%	40.29%	1.1s
12	1.8198507990061138E7	2.30%	39.60%	1.2s
13	1.803917092712106E7	0.88%	39.30%	1.1s
14	1.7889332571575005E7	0.83%	38.99%	1.1s
15	1.7679322498752676E7	1.17%	38.67%	1.1s
16	1.7566715960948862E7	0.64%	38.43%	1.2s
17	1.741958094253498E7	0.84%	38.18%	1.2s
18	1.731954942955511E7	0.57%	37.96%	1.2s
19	1.715971041325708E7	0.92%	37.70%	1.2s
20	1.7064960042939648E7	0.55%	37.54%	1.2s
21	1.7007009227300167E7	0.34%	37.41%	1.2s
22	1.6872402642819613E7	0.79%	37.18%	1.2s
23	1.6807334743185956E7	0.39%	37.11%	1.2s
24	1.6645750543469777E7	0.96%	36.82%	1.3s
25	1.6568271958416963E7	0.47%	36.68%	1.2s
26	1.6489961479470428E7	0.47%	36.52%	1.2s
27	1.6448139032989537E7	0.25%	36.43%	1.2s
28	1.640818913280725E7	0.24%	36.30%	1.3s
29	1.6365002266353205E7	0.26%	36.20%	1.3s
30	1.6323478975679202E7	0.25%	36.10%	1.3s
31	1.6289177650664194E7	0.21%	36.02%	1.5s
32	1.624827690923146E7	0.25%	35.95%	1.4s
33	1.6213848255304415E7	0.21%	35.87%	1.5s
34	1.6174506443232955E7	0.24%	35.76%	1.4s
35	1.614276388381157E7	0.20%	35.67%	1.3s
36	1.6106460263956342E7	0.22%	35.60%	1.3s
37	1.6081030733898912E7	0.16%	35.54%	1.4s
38	1.6045980776466686E7	0.22%	35.47%	1.4s
39	1.6023850314741194E7	0.14%	35.42%	1.4s
40	1.5990512671614071E7	0.21%	35.35%	1.4s
41	1.5969230860050818E7	0.13%	35.31%	1.4s
42	1.5936764677003467E7	0.20%	35.24%	1.3s
43	1.591955239130415E7	0.11%	35.19%	1.4s
44	1.5886872198150977E7	0.21%	35.13%	1.3s
45	1.5870294136706663E7	0.10%	35.09%	1.3s
46	1.583929137355023E7	0.20%	35.03%	1.3s
47	1.5823974504062664E7	0.10%	34.99%	1.3s
48	1.5792799275787514E7	0.20%	34.91%	1.4s
49	1.577962042482929E7	0.08%	34.88%	1.5s
50	1.5747666648308482E7	0.20%	34.82%	1.3s
51	1.5724489674588991E7	0.15%	34.77%	1.3s
52	1.5700538154033996E7	0.15%	34.72%	1.3s
53	1.5683220360077562E7	0.11%	34.68%	1.4s
54	1.5659230383545939E7	0.15%	34.64%	1.4s
55	1.5643271415000232E7	0.10%	34.60%	1.3s
56	1.5620774226400366E7	0.14%	34.56%	1.3s
57	1.5602303934063358E7	0.12%	34.51%	1.4s
58	1.5583305129602566E7	0.12%	34.48%	1.4s
59	1.5567561109139355E7	0.10%	34.42%	1.3s
60	1.5552295529459478E7	0.10%	34.40%	1.4s
61	1.5533669441133237E7	0.12%	34.35%	1.3s
62	1.5521224159856392E7	0.08%	34.33%	1.3s
63	1.5491784589286046E7	0.19%	34.26%	1.4s
64	1.5464857015165055E7	0.17%	34.19%	1.4s
65	1.5441967928455072E7	0.15%	34.13%	1.4s
66	1.5428287723242829E7	0.09%	34.08%	1.6s
67	1.5408347668243034E7	0.13%	34.04%	1.4s
68	1.5389255760717083E7	0.12%	33.99%	1.4s
69	1.5371756169688633E7	0.11%	33.94%	1.4s
70	1.5363330715372754E7	0.05%	33.92%	1.5s
71	1.5350931380821638E7	0.08%	33.89%	1.4s
72	1.5344500967166552E7	0.04%	33.87%	1.4s
73	1.533421393841773E7	0.07%	33.85%	1.4s
74	1.5325478165580198E7	0.06%	33.83%	1.5s
75	1.5314362449595904E7	0.07%	33.80%	1.4s
76	1.5305554453604536E7	0.06%	33.78%	1.4s
77	1.5293682942631613E7	0.08%	33.75%	1.4s
78	1.5283747387201104E7	0.06%	33.73%	1.4s
79	1.5276657151463099E7	0.05%	33.71%	1.4s
80	1.5267401983955786E7	0.06%	33.69%	1.5s
81	1.5262648075475449E7	0.03%	33.68%	1.4s
82	1.5253391462622864E7	0.06%	33.66%	1.4s
83	1.5246833871807804E7	0.04%	33.64%	1.4s
84	1.523758980265361E7	0.06%	33.62%	1.4s
85	1.5233127782228E7	0.03%	33.61%	1.4s
86	1.52236920810214E7	0.06%	33.58%	1.4s
87	1.521940741593804E7	0.03%	33.57%	1.4s
88	1.5209810643975643E7	0.06%	33.55%	1.4s
89	1.5205675326804414E7	0.03%	33.53%	1.4s
90	1.519570227824511E7	0.07%	33.51%	1.4s
91	1.5192713461745556E7	0.02%	33.50%	1.5s
92	1.5183797721690992E7	0.06%	33.48%	1.4s
93	1.5180883670738883E7	0.02%	33.48%	1.4s
94	1.5171600181524253E7	0.06%	33.45%	1.4s
95	1.5168177581911674E7	0.02%	33.44%	1.4s
96	1.515947047604751E7	0.06%	33.42%	1.4s
97	1.515690299913771E7	0.02%	33.41%	1.4s
98	1.5151104342640383E7	0.04%	33.40%	1.4s
99	1.5146009154908843E7	0.03%	33.39%	1.4s
100	1.5141410109078411E7	0.03%	33.37%	1.4s
101	1.513571158842806E7	0.04%	33.36%	1.4s
102	1.5131484456032494E7	0.03%	33.35%	1.4s
103	1.5126685511325909E7	0.03%	33.33%	1.4s
104	1.5122527290246904E7	0.03%	33.32%	1.4s
105	1.511785724980316E7	0.03%	33.31%	1.4s
106	1.5113993853804853E7	0.03%	33.30%	1.5s
107	1.510939632272758E7	0.03%	33.29%	1.4s
108	1.5105966520904899E7	0.02%	33.28%	1.4s
109	1.5101205792057108E7	0.03%	33.27%	1.4s
110	1.5097332690340267E7	0.03%	33.26%	1.4s
111	1.5092775977655103E7	0.03%	33.25%	1.5s
112	1.5090405881884709E7	0.02%	33.24%	1.4s
113	1.5086208297110468E7	0.03%	33.23%	1.4s
114	1.5083396667457862E7	0.02%	33.22%	1.4s
115	1.5079280479494039E7	0.03%	33.21%	1.4s
116	1.5076761616428616E7	0.02%	33.20%	1.4s
117	1.5072697944373142E7	0.03%	33.19%	1.4s
118	1.5070215991537778E7	0.02%	33.18%	1.4s
119	1.5066218287571989E7	0.03%	33.18%	1.4s
120	1.5064308276939295E7	0.01%	33.17%	1.4s
121	1.5060382585489398E7	0.03%	33.16%	1.4s
122	1.5058532578949481E7	0.01%	33.15%	1.4s
123	1.5054626392487044E7	0.03%	33.14%	1.4s
124	1.5052827742716016E7	0.01%	33.14%	1.4s
125	1.5048953964226691E7	0.03%	33.13%	1.4s
126	1.5047254916278785E7	0.01%	33.12%	1.4s
127	1.5043459109027728E7	0.03%	33.11%	1.4s
128	1.5042049490547514E7	0.01%	33.11%	1.4s
CPU time: 2.86min
