time	total error	% error	count	predicted
80	0.0	0.00	636.44	1740.64
81	452.736553086356	58.06	779.82	2248.16
82	555.9415781239941	71.54	777.13	2630.42
83	1020.5196945618618	135.51	753.08	2916.58
84	930.6490114870102	107.17	868.41	3129.11
85	1160.9636534325336	145.82	796.14	3285.56
86	762.2266386857436	75.75	1006.22	3399.82
87	645.2591390763168	59.06	1092.50	3482.96
88	662.1750662927327	55.48	1193.55	3544.00
89	693.24748744699	54.80	1264.97	3590.39
90	773.2373418351982	59.07	1309.00	3628.41
91	861.1845725768255	61.47	1401.00	3663.59
92	795.4742618226481	56.70	1403.00	3700.92
93	997.847389200146	62.96	1585.00	3745.10
94	1365.0892474908248	76.39	1787.11	3800.81
95	1404.974771885772	77.19	1820.05	3872.83
96	1653.7548908068559	83.96	1969.61	3966.26
97	821.7850691908455	36.30	2263.67	4051.13
98	620.8164714139025	23.93	2594.48	4128.00
99	682.4968642880892	23.09	2955.48	4198.26
100	827.9745313487559	24.09	3436.45	4263.69
101	1200.0252426022564	31.27	3837.06	4326.27
102	941.6548252219973	25.85	3642.56	4387.94
103	1853.5834646238172	59.74	3102.90	4450.62
104	1687.6026572466687	50.70	3328.57	4516.09
105	1452.1212107522044	39.46	3680.39	4585.99
106	1428.7230588509133	34.45	4146.64	4661.89
107	1653.2766250350603	36.83	4489.26	4745.22
108	1772.9982987241963	38.30	4629.67	4837.33
109	1633.4135278390652	35.86	4554.71	4939.51
110	1707.3926842302383	38.74	4407.47	5053.02
111	2309.891430199999	52.04	4438.90	5179.11
112	2096.1536499167414	48.73	4301.74	5319.05
113	1838.7343224277183	41.64	4415.38	5474.13
114	1490.1279341423053	30.84	4831.69	5645.74
115	1387.5940309824773	28.95	4793.13	5835.35
116	1275.9990998318253	26.11	4887.11	6044.54
117	946.7075497182431	19.15	4944.39	6275.07
118	1149.9808670727934	23.83	4826.53	6409.57
119	1218.4315102932799	25.65	4750.79	6468.66
120	1136.4192666557954	22.97	4947.41	6469.02
121	1148.98215356326	20.88	5502.94	6424.15
122	1411.8658660198403	25.35	5568.48	6344.98
123	1696.0869628735452	30.09	5636.12	6240.28
124	1990.237877320819	35.03	5681.36	6117.13
125	1564.8871799271462	27.64	5661.08	5981.21
126	1152.567723611817	21.76	5296.69	5837.06
127	1125.1216948095353	21.19	5309.59	5688.32
128	1190.6315971268796	21.33	5581.57	5537.87
129	1195.7523817547315	22.64	5281.21	5388.00
130	1118.1497749375083	21.95	5093.53	5240.50
131	1016.4124483200472	21.62	4701.97	5096.80
132	1013.63512534456	24.44	4147.63	4957.98
133	1136.7418490046973	30.44	3734.49	4824.92
134	1009.5506973533003	27.19	3712.59	4698.26
135	789.4672637766824	20.09	3928.95	4578.52
136	656.6980642203176	16.31	4025.68	4466.09
137	826.8666141726092	22.56	3664.90	4361.26
138	937.1936619044393	27.81	3370.43	4264.27
139	598.6714584895997	19.22	3114.72	4175.30
140	630.8518366826751	21.20	2975.57	4094.52
141	579.2026177741832	18.26	3171.66	4008.54
142	597.8153800739166	17.22	3470.73	3918.81
143	556.2730099713186	17.06	3260.65	3826.85
144	570.5989075201081	18.50	3083.87	3734.19
145	542.6954473603008	19.40	2797.85	3642.22
146	678.4268025697658	26.31	2578.98	3552.20
147	583.0872242805594	22.86	2550.98	3465.24
148	294.11622540615133	10.75	2736.15	3382.30
149	422.9169911806872	14.47	2922.81	3304.20
150	356.35495940189423	12.53	2843.92	3231.66
151	446.00099969326504	15.82	2819.96	3165.28
152	474.34939736444045	17.40	2725.49	3105.61
