MN_start80 run 4
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize true
Iteration	Objective	Obj. change	Error	CPU time (s)
1	1.0716451976996723E8	80.18%	96.68%	0.9s
2	4.042378812968378E7	62.28%	64.37%	1.0s
3	2.6832216527449038E7	33.62%	52.25%	1.0s
4	2.1173513809091702E7	21.09%	46.59%	1.0s
5	1.962308311637389E7	7.32%	44.02%	1.0s
6	1.8883329098830394E7	3.77%	42.69%	1.0s
7	1.8371211575779956E7	2.71%	41.64%	1.1s
8	1.803113692508216E7	1.85%	40.83%	1.1s
9	1.7743660356370956E7	1.59%	40.21%	1.1s
10	1.7401828609413236E7	1.93%	39.47%	1.1s
11	1.7137483107803233E7	1.52%	38.95%	1.1s
12	1.696096815071191E7	1.03%	38.54%	1.2s
13	1.6717076331514291E7	1.44%	38.11%	1.2s
14	1.6497862261173602E7	1.31%	37.76%	1.2s
15	1.6365836907583281E7	0.80%	37.49%	1.2s
16	1.6224374174854225E7	0.86%	37.17%	1.2s
17	1.6090663769011052E7	0.82%	36.90%	1.2s
18	1.595630102949962E7	0.84%	36.57%	1.2s
19	1.5854640396796247E7	0.64%	36.37%	1.3s
20	1.5697674582540542E7	0.99%	36.16%	1.3s
21	1.5611717491070949E7	0.55%	35.94%	1.3s
22	1.5526970390821533E7	0.54%	35.79%	1.3s
23	1.5457907668073902E7	0.44%	35.65%	1.3s
24	1.5341599574257508E7	0.75%	35.43%	1.3s
25	1.5245649787432877E7	0.63%	35.24%	1.3s
26	1.514449708799191E7	0.66%	35.05%	1.3s
27	1.5083972191257743E7	0.40%	34.94%	1.3s
28	1.5005537310180342E7	0.52%	34.78%	1.3s
29	1.4912919920075558E7	0.62%	34.61%	1.3s
30	1.4859093045100948E7	0.36%	34.47%	1.3s
31	1.4816198472269544E7	0.29%	34.36%	1.4s
32	1.4771579678326443E7	0.30%	34.28%	1.3s
33	1.4742045645157533E7	0.20%	34.22%	1.4s
34	1.4671027592767168E7	0.48%	34.12%	1.3s
35	1.4639255162596965E7	0.22%	34.04%	1.3s
36	1.4593149146302043E7	0.31%	33.95%	1.3s
37	1.45281773193027E7	0.45%	33.88%	1.3s
38	1.449210117855559E7	0.25%	33.79%	1.3s
39	1.4448004249539617E7	0.30%	33.73%	1.3s
40	1.4389782258332789E7	0.40%	33.64%	1.3s
41	1.4363600718265487E7	0.18%	33.61%	1.4s
42	1.4321284892987758E7	0.29%	33.52%	1.3s
43	1.4266019810879212E7	0.39%	33.44%	1.4s
44	1.4249538744324408E7	0.12%	33.38%	1.4s
45	1.4195961571565686E7	0.38%	33.32%	1.4s
46	1.4148153011308115E7	0.34%	33.24%	1.4s
47	1.4121486739976455E7	0.19%	33.13%	1.3s
48	1.4109872634702235E7	0.08%	33.13%	1.4s
49	1.4082075110955318E7	0.20%	33.08%	1.4s
50	1.405355455143292E7	0.20%	33.02%	1.4s
51	1.4036226345561644E7	0.12%	32.98%	1.4s
52	1.4014141714081483E7	0.16%	32.95%	1.4s
53	1.3998376131939001E7	0.11%	32.91%	1.4s
54	1.3981532201919278E7	0.12%	32.86%	1.4s
55	1.3956569425265662E7	0.18%	32.81%	1.4s
56	1.3939663335051708E7	0.12%	32.77%	1.4s
57	1.3918351948752703E7	0.15%	32.73%	1.4s
58	1.3907839934608364E7	0.08%	32.71%	1.4s
59	1.3887364940418432E7	0.15%	32.68%	1.4s
60	1.3876384507317292E7	0.08%	32.67%	1.4s
61	1.3856272433560863E7	0.14%	32.63%	1.3s
62	1.3846590126645237E7	0.07%	32.61%	1.4s
63	1.3827296278099667E7	0.14%	32.58%	1.4s
64	1.3817192498812873E7	0.07%	32.57%	1.4s
65	1.3798712171281856E7	0.13%	32.54%	1.4s
66	1.378930369273559E7	0.07%	32.52%	1.3s
67	1.3770043737810183E7	0.14%	32.49%	1.4s
68	1.3761351502072724E7	0.06%	32.48%	1.4s
69	1.3743974031825932E7	0.13%	32.45%	1.4s
70	1.3737920063203476E7	0.04%	32.45%	1.5s
71	1.3720637193623401E7	0.13%	32.42%	1.4s
72	1.3712561627964389E7	0.06%	32.41%	1.3s
73	1.3695472943482041E7	0.12%	32.38%	1.3s
74	1.3689606531362848E7	0.04%	32.38%	1.3s
75	1.367213790555685E7	0.13%	32.35%	1.4s
76	1.3666104356545366E7	0.04%	32.34%	1.4s
77	1.3649804858425558E7	0.12%	32.31%	1.4s
78	1.3644398227489745E7	0.04%	32.31%	1.4s
79	1.3627894951420518E7	0.12%	32.28%	1.4s
