time	total error	% error	count	predicted
80	0.0	0.00	636.44	1615.62
81	548.138679533437	70.29	779.82	2175.75
82	798.528335609757	102.75	777.13	2600.76
83	1132.4412313836403	150.37	753.08	2921.83
84	1087.537548165421	125.23	868.41	3163.10
85	1327.1896685047234	166.70	796.14	3343.34
86	930.7684050330585	92.50	1006.22	3477.28
87	938.0365085538444	85.86	1092.50	3576.53
88	976.6347319674047	81.83	1193.55	3650.31
89	1032.360684344289	81.61	1264.97	3706.01
90	1055.8402887133373	80.66	1309.00	3749.58
91	1121.3695146425136	80.04	1401.00	3785.94
92	933.2010019345116	66.51	1403.00	3819.12
93	1029.410942705354	64.95	1585.00	3852.59
94	1322.718734467409	74.01	1787.11	3889.32
95	1372.3920369257598	75.40	1820.05	3931.98
96	1540.5796943316532	78.22	1969.61	3983.02
97	1066.8081121023683	47.13	2263.67	4031.71
98	953.7639328041085	36.76	2594.48	4078.27
99	984.6585104105503	33.32	2955.48	4123.60
100	992.3336319562295	28.88	3436.45	4168.93
101	1333.78235290921	34.76	3837.06	4215.63
102	1112.4599431498846	30.54	3642.56	4265.13
103	1954.3375163876804	62.98	3102.90	4318.81
104	1846.031986005755	55.46	3328.57	4377.98
105	1655.670312075516	44.99	3680.39	4443.88
106	1682.1912524244315	40.57	4146.64	4517.69
107	1914.6457090590714	42.65	4489.26	4600.52
108	2015.4302707957368	43.53	4629.67	4693.43
109	1894.9450873700782	41.60	4554.71	4797.45
110	1698.2374804230017	38.53	4407.47	4913.60
111	2066.0220864069966	46.54	4438.90	5042.90
112	1911.3937613127864	44.43	4301.74	5186.41
113	1759.064024702988	39.84	4415.38	5345.21
114	1418.5473403410692	29.36	4831.69	5520.44
115	1303.5859894011633	27.20	4793.13	5713.32
116	1226.8119624051583	25.10	4887.11	5925.16
117	945.5469802320806	19.12	4944.39	6157.38
118	1056.5681345275434	21.89	4826.53	6289.27
119	1122.6144357673961	23.63	4750.79	6342.51
120	1007.2796635428695	20.36	4947.41	6334.60
121	975.1530279490337	17.72	5502.94	6279.69
122	1284.4184828634898	23.07	5568.48	6189.18
123	1583.1191044471109	28.09	5636.12	6072.26
124	1887.6248966415126	33.22	5681.36	5936.28
125	1185.652868077691	20.94	5661.08	5787.17
126	864.0066528165739	16.31	5296.69	5629.65
127	854.2073649757224	16.09	5309.59	5467.47
128	992.0132218344756	17.77	5581.57	5303.62
129	1069.9145451796048	20.26	5281.21	5140.46
130	1060.7027035380306	20.82	5093.53	4979.84
131	994.0265455582038	21.14	4701.97	4823.21
132	904.7288287017857	21.81	4147.63	4671.68
133	996.2617573459979	26.68	3734.49	4526.12
134	855.3342505713466	23.04	3712.59	4387.19
135	681.8465082187302	17.35	3928.95	4255.38
136	654.0968130008272	16.25	4025.68	4131.07
137	722.9764582650213	19.73	3664.90	4014.53
138	804.0386833898924	23.86	3370.43	3905.97
139	771.284505619857	24.76	3114.72	3805.54
140	792.2063761726283	26.62	2975.57	3713.35
141	672.9962243755627	21.22	3171.66	3616.73
142	591.1690067433146	17.03	3470.73	3517.25
143	570.4127550080477	17.49	3260.65	3416.45
144	526.8094903872255	17.08	3083.87	3315.74
145	585.4336808907107	20.92	2797.85	3216.39
146	663.2731981177358	25.72	2578.98	3119.49
147	573.8408236184368	22.49	2550.98	3025.99
148	437.3371497102797	15.98	2736.15	2936.68
149	518.3767563484344	17.74	2922.81	2852.24
150	504.61752670782334	17.74	2843.92	2773.23
151	594.2436272081018	21.07	2819.96	2700.14
152	585.8195253576713	21.49	2725.49	2633.38
