time	total error	% error	count	predicted
80	0.0	0.00	636.44	1569.59
81	593.1903386712016	76.07	779.82	1913.90
82	790.5497360482274	101.73	777.13	2177.75
83	1118.2727042166557	148.49	753.08	2381.39
84	1087.7874083739641	125.26	868.41	2540.12
85	1243.9869511987304	156.25	796.14	2665.65
86	975.4918248729214	96.95	1006.22	2767.12
87	959.7043688629797	87.84	1092.50	2851.68
88	923.8356801412908	77.40	1193.55	2925.08
89	961.132413425686	75.98	1264.97	2992.02
90	924.2816093259776	70.61	1309.00	3056.41
91	908.8624085020481	64.87	1401.00	3121.58
92	973.704132862995	69.40	1403.00	3190.50
93	1128.5773127135867	71.20	1585.00	3265.86
94	1377.4281846176755	77.08	1787.11	3350.20
95	1370.1705779631616	75.28	1820.05	3446.00
96	1466.167950705158	74.44	1969.61	3555.76
97	1203.1439120874827	53.15	2263.67	3652.51
98	955.1795874598033	36.82	2594.48	3738.50
99	944.7990752710597	31.97	2955.48	3816.27
100	932.6776913314543	27.14	3436.45	3888.46
101	1269.5369197904188	33.09	3837.06	3957.60
102	1017.4825333854923	27.93	3642.56	4026.07
103	1592.4901134738918	51.32	3102.90	4096.05
104	1499.3814945239508	45.05	3328.57	4169.52
105	1355.9834985473653	36.84	3680.39	4248.28
106	1422.2421263654217	34.30	4146.64	4333.96
107	1662.3784574548015	37.03	4489.26	4428.05
108	1819.4080754571971	39.30	4629.67	4531.92
109	1751.4859272229307	38.45	4554.71	4646.86
110	1818.4759836796934	41.26	4407.47	4774.12
111	1888.9766255025195	42.56	4438.90	4914.87
112	1809.4184052717578	42.06	4301.74	5070.30
113	1649.0507503948913	37.35	4415.38	5241.61
114	1349.4371142076382	27.93	4831.69	5430.02
115	1275.017340978327	26.60	4793.13	5636.78
116	1239.878676203683	25.37	4887.11	5863.24
117	1006.0817183963372	20.35	4944.39	6110.79
118	1106.2186947836124	22.92	4826.53	6256.28
119	1208.9154752087495	25.45	4750.79	6321.55
120	1079.8879916434767	21.83	4947.41	6324.30
121	998.1710895777376	18.14	5502.94	6278.85
122	1096.7302019595743	19.70	5568.48	6196.81
123	1346.107849352923	23.88	5636.12	6087.50
124	1613.185018730786	28.39	5681.36	5958.45
125	1295.9256159017582	22.89	5661.08	5815.70
126	996.7402163634677	18.82	5296.69	5664.06
127	992.9593613509134	18.70	5309.59	5507.41
128	1112.1901419467308	19.93	5581.57	5348.80
129	1143.9675101957075	21.66	5281.21	5190.65
130	1081.7307773465234	21.24	5093.53	5034.88
131	996.3688552828643	21.19	4701.97	4882.97
132	950.561681721223	22.92	4147.63	4736.10
133	1047.7803518850471	28.06	3734.49	4595.15
134	876.0357210602442	23.60	3712.59	4460.81
135	644.7764720030447	16.41	3928.95	4333.60
136	582.3439535544462	14.47	4025.68	4213.91
137	645.5318579123675	17.61	3664.90	4102.04
138	719.5976789067207	21.35	3370.43	3998.19
139	658.6083412829339	21.15	3114.72	3902.53
140	691.2971969106115	23.23	2975.57	3815.19
141	597.5110962649114	18.84	3171.66	3720.98
142	494.13807479934707	14.24	3470.73	3622.00
143	471.49950363421414	14.46	3260.65	3520.20
144	522.193334760902	16.93	3083.87	3417.33
145	523.3027710472174	18.70	2797.85	3314.94
146	619.1454790396913	24.01	2578.98	3214.35
147	506.5472357080361	19.86	2550.98	3116.69
148	301.14669756405254	11.01	2736.15	3022.89
149	478.56023978440925	16.37	2922.81	2933.75
150	416.26432573356396	14.64	2843.92	2849.92
151	490.96554349729234	17.41	2819.96	2771.95
152	505.99720378148766	18.57	2725.49	2700.32
