time	total error	% error	count	predicted
80	0.0	0.00	636.44	1768.83
81	559.6817706276247	71.77	779.82	2306.78
82	709.2776515810049	91.27	777.13	2710.91
83	1305.3288803307148	173.33	753.08	3011.71
84	1214.6585372645595	139.87	868.41	3232.90
85	1389.5650594836432	174.54	796.14	3393.01
86	1013.5556271572534	100.73	1006.22	3506.68
87	905.8502506701227	82.92	1092.50	3585.54
88	815.4645895138007	68.32	1193.55	3638.90
89	864.3598569606772	68.33	1264.97	3674.32
90	967.3994272922979	73.90	1309.00	3697.96
91	1089.372983786742	77.76	1401.00	3714.94
92	1113.9773016365941	79.40	1403.00	3729.58
93	1424.626861962677	89.88	1585.00	3745.58
94	1870.931119244387	104.69	1787.11	3766.23
95	1993.3704261004702	109.52	1820.05	3794.49
96	2251.0769255232462	114.29	1969.61	3833.13
97	1092.0169566849136	48.24	2263.67	3875.66
98	857.456251102565	33.05	2594.48	3919.99
99	898.1231054399454	30.39	2955.48	3965.44
100	845.0503785794233	24.59	3436.45	4012.19
101	1147.5202823071318	29.91	3837.06	4060.91
102	938.6813052481452	25.77	3642.56	4112.56
103	1739.5619085586068	56.06	3102.90	4168.20
104	1641.5520676968374	49.32	3328.57	4228.96
105	1477.4807816431446	40.14	3680.39	4295.97
106	1441.7805000267194	34.77	4146.64	4370.32
107	1644.2584892577609	36.63	4489.26	4453.05
108	1797.875097874472	38.83	4629.67	4545.19
109	1728.6823683718144	37.95	4554.71	4647.72
110	1673.062066801084	37.96	4407.47	4761.61
111	1988.7558961369634	44.80	4438.90	4887.84
112	1871.4571410098606	43.50	4301.74	5027.37
113	1680.7235938083318	38.07	4415.38	5181.21
114	1338.0773560295302	27.69	4831.69	5350.41
115	1276.4642607064147	26.63	4793.13	5536.06
116	1223.879613276066	25.04	4887.11	5739.34
117	958.9736407546209	19.40	4944.39	5961.51
118	1020.9435081573308	21.15	4826.53	6092.85
119	1127.2057875933021	23.73	4750.79	6153.05
120	991.3695963763007	20.04	4947.41	6157.95
121	958.3032568122209	17.41	5502.94	6120.34
122	1139.9521780847629	20.47	5568.48	6050.49
123	1425.4542902908563	25.29	5636.12	5956.66
124	1693.4815588932267	29.81	5681.36	5845.46
125	1361.6290349790963	24.05	5661.08	5722.20
126	1039.4971817410062	19.63	5296.69	5591.09
127	998.2112726323791	18.80	5309.59	5455.52
128	1177.3478364846796	21.09	5581.57	5318.16
129	1146.5672893349247	21.71	5281.21	5181.13
130	1069.974280906091	21.01	5093.53	5046.13
131	955.7594404763213	20.33	4701.97	4914.46
132	921.2208570978244	22.21	4147.63	4787.19
133	1062.6161410167508	28.45	3734.49	4665.12
134	888.5454976723192	23.93	3712.59	4548.91
135	737.0645837610323	18.76	3928.95	4439.06
136	544.449752176561	13.52	4025.68	4335.99
137	759.4470005254407	20.72	3664.90	4240.03
138	894.8206646790533	26.55	3370.43	4151.45
139	645.1683621584161	20.71	3114.72	4070.50
140	677.973957434579	22.78	2975.57	3997.40
141	450.13479970334345	14.19	3171.66	3915.07
142	595.5605901985768	17.16	3470.73	3825.95
143	532.4064945013407	16.33	3260.65	3732.28
144	580.9412033203184	18.84	3083.87	3636.06
145	506.21072611009595	18.09	2797.85	3539.05
146	646.4452583726803	25.07	2578.98	3442.77
147	545.6203932933902	21.39	2550.98	3348.51
148	300.3153241410868	10.98	2736.15	3257.35
149	417.4955535154399	14.28	2922.81	3170.22
150	376.58947424902647	13.24	2843.92	3087.89
151	473.2921931405156	16.78	2819.96	3011.03
152	468.23353505301964	17.18	2725.49	2940.22
