time	total error	% error	count	predicted
80	0.0	0.00	636.44	1361.75
81	536.4393888750102	68.79	779.82	1935.01
82	966.8470200814218	124.41	777.13	2368.91
83	1070.197876035389	142.11	753.08	2695.85
84	1006.4764068671327	115.90	868.41	2940.84
85	1217.171426514882	152.88	796.14	3123.35
86	887.5976245234126	88.21	1006.22	3258.63
87	900.7300755408556	82.45	1092.50	3358.73
88	886.2935255506295	74.26	1193.55	3433.29
89	930.134502652852	73.53	1264.97	3490.10
90	971.8740396501161	74.25	1309.00	3535.54
91	1051.7515921457755	75.07	1401.00	3574.98
92	874.906678483008	62.36	1403.00	3613.04
93	983.1891096855014	62.03	1585.00	3653.79
94	1240.7531538871676	69.43	1787.11	3701.03
95	1327.8736126405217	72.96	1820.05	3758.35
96	1510.1856065056556	76.67	1969.61	3829.35
97	956.178201397299	42.24	2263.67	3896.77
98	758.8115588388555	29.25	2594.48	3960.38
99	881.2772807247546	29.82	2955.48	4020.90
100	911.3983416003296	26.52	3436.45	4079.58
101	1271.3437273769573	33.13	3837.06	4137.91
102	1018.8423026952712	27.97	3642.56	4197.50
103	1792.1572041005813	57.76	3102.90	4259.94
104	1663.3490833327135	49.97	3328.57	4326.78
105	1476.708925742339	40.12	3680.39	4399.47
106	1481.0423652499014	35.72	4146.64	4479.38
107	1688.6711102998943	37.62	4489.26	4567.83
108	1785.9817424997127	38.58	4629.67	4666.05
109	1672.8422742871194	36.73	4554.71	4775.21
110	1623.1633221337672	36.83	4407.47	4896.50
111	1899.4549985702301	42.79	4438.90	5031.05
112	1804.8010490298748	41.96	4301.74	5180.02
113	1641.4619995414268	37.18	4415.38	5344.60
114	1304.1603958281303	26.99	4831.69	5526.02
115	1222.5564779353895	25.51	4793.13	5725.58
116	1154.365479766201	23.62	4887.11	5944.64
117	943.3013656738224	19.08	4944.39	6184.68
118	1084.764028427615	22.48	4826.53	6324.72
119	1156.384559748137	24.34	4750.79	6386.26
120	1017.5442288177786	20.57	4947.41	6386.66
121	1032.6644271163884	18.77	5502.94	6339.97
122	1213.36247170956	21.79	5568.48	6257.53
123	1514.6605257847773	26.87	5636.12	6148.45
124	1794.976760937897	31.59	5681.36	6020.07
125	1145.088107590753	20.23	5661.08	5878.27
126	834.0124435267537	15.75	5296.69	5727.76
127	788.781345859182	14.86	5309.59	5572.28
128	938.393738568598	16.81	5581.57	5414.81
129	957.2906423839083	18.13	5281.21	5257.72
130	966.8694986170912	18.98	5093.53	5102.85
131	960.0156808977746	20.42	4701.97	4951.67
132	986.8279718070481	23.79	4147.63	4805.32
133	1080.9558083535776	28.95	3734.49	4664.68
134	920.0263573411061	24.78	3712.59	4530.43
135	706.1404158588788	17.97	3928.95	4403.10
136	560.213074186373	13.92	4025.68	4283.09
137	708.398994612085	19.33	3664.90	4170.72
138	818.615104785325	24.29	3370.43	4066.23
139	574.9261601758236	18.46	3114.72	3969.83
140	609.6747971662768	20.49	2975.57	3881.68
141	529.940444438432	16.71	3171.66	3792.00
142	564.6591237134018	16.27	3470.73	3701.36
143	535.0077663646834	16.41	3260.65	3610.65
144	584.0082271432861	18.94	3083.87	3520.92
145	527.792483037747	18.86	2797.85	3433.23
146	639.1173828699142	24.78	2578.98	3348.59
147	555.6211106819513	21.78	2550.98	3267.95
148	281.72958923352655	10.30	2736.15	3192.16
149	466.1915927258795	15.95	2922.81	3122.02
150	398.429672628356	14.01	2843.92	3058.25
151	436.8339517117217	15.49	2819.96	3001.51
152	464.2627167147214	17.03	2725.49	2952.45
