MN_start80 run 5
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize true
Iteration	Objective	Obj. change	Error	CPU time (s)
48	1.2113145203718297E7	0.10%	32.17%	1.5s
49	1.2104429933164086E7	0.07%	32.14%	1.4s
50	1.2096020902400186E7	0.07%	32.09%	1.4s
51	1.2089730232526472E7	0.05%	32.07%	1.4s
52	1.2080774769860541E7	0.07%	32.04%	1.4s
53	1.2068012913702864E7	0.11%	31.96%	1.4s
54	1.2059321497393895E7	0.07%	31.93%	1.4s
55	1.2051035169601634E7	0.07%	31.89%	1.4s
56	1.2044169303051284E7	0.06%	31.86%	1.4s
57	1.2038200902015448E7	0.05%	31.84%	1.4s
58	1.2032025400401646E7	0.05%	31.81%	1.4s
59	1.2025719506680904E7	0.05%	31.79%	1.4s
60	1.201968855568583E7	0.05%	31.76%	1.4s
61	1.2014836235488838E7	0.04%	31.74%	1.4s
62	1.2009403906589814E7	0.05%	31.72%	1.4s
63	1.2003785397332745E7	0.05%	31.69%	1.4s
64	1.1996381776320621E7	0.06%	31.67%	1.4s
65	1.1987690489595527E7	0.07%	31.63%	1.4s
66	1.1978358765912507E7	0.08%	31.60%	1.4s
67	1.1969666149257831E7	0.07%	31.57%	1.4s
68	1.1963293504861237E7	0.05%	31.54%	1.4s
69	1.1953585129629983E7	0.08%	31.51%	1.4s
70	1.1944072393991534E7	0.08%	31.47%	1.4s
71	1.193504225641114E7	0.08%	31.44%	1.4s
72	1.1925614661313938E7	0.08%	31.40%	1.4s
73	1.1916730502733836E7	0.07%	31.37%	1.4s
74	1.1906647280457534E7	0.08%	31.33%	1.4s
75	1.1901352094542915E7	0.04%	31.31%	1.4s
76	1.189351686995244E7	0.07%	31.28%	1.4s
77	1.1886638603838537E7	0.06%	31.25%	1.4s
78	1.1879729908734724E7	0.06%	31.22%	1.4s
79	1.1871984098903188E7	0.07%	31.20%	1.4s
80	1.1865366849599706E7	0.06%	31.16%	1.4s
81	1.1859169838707112E7	0.05%	31.14%	1.4s
82	1.1854419161408987E7	0.04%	31.12%	1.4s
83	1.1848930818969544E7	0.05%	31.10%	1.4s
84	1.1843884101309685E7	0.04%	31.07%	1.4s
85	1.1838739919203784E7	0.04%	31.05%	1.4s
86	1.1834182997391267E7	0.04%	31.03%	1.4s
87	1.1829040166172082E7	0.04%	31.01%	1.4s
88	1.182467340540372E7	0.04%	30.99%	1.4s
89	1.1821092775079414E7	0.03%	30.97%	1.4s
90	1.1812421128073694E7	0.07%	30.94%	1.4s
91	1.1809029237639202E7	0.03%	30.93%	1.4s
92	1.1804892016410638E7	0.04%	30.91%	1.4s
93	1.1801233249427143E7	0.03%	30.89%	1.4s
94	1.1797289167230012E7	0.03%	30.88%	1.4s
95	1.1782856365582049E7	0.12%	30.80%	1.4s
96	1.1770429699980684E7	0.11%	30.74%	1.4s
97	1.1766844582210546E7	0.03%	30.72%	1.4s
98	1.1764168465104701E7	0.02%	30.71%	1.4s
99	1.1762318236928798E7	0.02%	30.70%	1.5s
100	1.1760402768543057E7	0.02%	30.69%	1.4s
101	1.1759138265625427E7	0.01%	30.68%	1.4s
102	1.1757442024447324E7	0.01%	30.67%	1.4s
103	1.1756039307527572E7	0.01%	30.66%	1.5s
104	1.1753456850805871E7	0.02%	30.66%	1.4s
105	1.1751941880354395E7	0.01%	30.65%	1.4s
106	1.1750106694502858E7	0.02%	30.63%	1.5s
107	1.1748782999592762E7	0.01%	30.63%	1.4s
108	1.174701911161205E7	0.02%	30.62%	1.5s
109	1.1745579183539957E7	0.01%	30.61%	1.5s
110	1.1743279207087114E7	0.02%	30.60%	1.4s
111	1.174184253616858E7	0.01%	30.59%	1.5s
112	1.1739999936766133E7	0.02%	30.58%	1.4s
113	1.1738848024648266E7	0.01%	30.57%	1.5s
CPU time: 2.49min
