MN_start80 run 5
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize true
Iteration	Objective	Obj. change	Error	CPU time (s)
1	4.230299536550407E7	93.88%	75.50%	0.9s
2	2.4298777609726533E7	42.56%	53.76%	0.9s
3	1.8822684461542122E7	22.54%	46.34%	1.0s
4	1.6124457457763445E7	14.33%	42.35%	1.0s
5	1.5410468175587824E7	4.43%	40.54%	1.0s
6	1.5035044055580059E7	2.44%	39.59%	1.1s
7	1.4671472247066917E7	2.42%	38.77%	1.0s
8	1.4418619106254498E7	1.72%	38.10%	1.1s
9	1.4188841329841588E7	1.59%	37.52%	1.1s
10	1.3986929640678229E7	1.42%	37.02%	1.1s
11	1.3816365321545556E7	1.22%	36.58%	1.1s
12	1.3653351176393107E7	1.18%	36.15%	1.1s
13	1.3541378058305684E7	0.82%	35.90%	1.2s
14	1.3416453750163492E7	0.92%	35.62%	1.2s
15	1.3333753060209338E7	0.62%	35.44%	1.2s
16	1.3221564963459725E7	0.84%	35.22%	1.2s
17	1.3136161751867061E7	0.65%	35.02%	1.2s
18	1.3061069658096194E7	0.57%	34.86%	1.2s
19	1.29711354255802E7	0.69%	34.63%	1.2s
20	1.289880482072743E7	0.56%	34.43%	1.2s
21	1.2823942373338727E7	0.58%	34.20%	1.3s
22	1.2763599310875678E7	0.47%	34.06%	1.2s
23	1.2708785549380263E7	0.43%	33.93%	1.2s
24	1.2666824312901154E7	0.33%	33.82%	1.2s
25	1.2620448954306282E7	0.37%	33.67%	1.3s
26	1.2587905209886655E7	0.26%	33.56%	1.3s
27	1.2548394502798121E7	0.31%	33.47%	1.3s
28	1.2513868350939156E7	0.28%	33.37%	1.3s
29	1.2489251535658557E7	0.20%	33.31%	1.3s
30	1.2458005667105393E7	0.25%	33.23%	1.3s
31	1.2438704099655723E7	0.15%	33.16%	1.3s
32	1.2414643533868385E7	0.19%	33.09%	1.3s
33	1.2394805083830021E7	0.16%	33.04%	1.3s
34	1.2362927059179164E7	0.26%	32.95%	1.3s
35	1.2342894254999783E7	0.16%	32.90%	1.3s
36	1.2316908114443272E7	0.21%	32.83%	1.3s
37	1.230042782185884E7	0.13%	32.78%	1.3s
38	1.2275257710483223E7	0.20%	32.72%	1.3s
39	1.2240586935869483E7	0.28%	32.58%	1.4s
40	1.2219203364720376E7	0.17%	32.50%	1.3s
41	1.2207134537903745E7	0.10%	32.47%	1.3s
42	1.2190398492474698E7	0.14%	32.42%	1.3s
43	1.2168707561436385E7	0.18%	32.36%	1.3s
44	1.2158113734089382E7	0.09%	32.32%	1.3s
45	1.2148019136063734E7	0.08%	32.29%	1.4s
46	1.2137186657902589E7	0.09%	32.25%	1.5s
47	1.2124770479819983E7	0.10%	32.19%	1.5s
