MN_start80 run 3
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize true
Iteration	Objective	Obj. change	Error	CPU time (s)
113	1.201356602098533E7	0.04%	30.48%	1.4s
114	1.2008203662313055E7	0.04%	30.46%	1.4s
115	1.2004129166926164E7	0.03%	30.45%	1.4s
116	1.1999230079564728E7	0.04%	30.44%	1.4s
117	1.1994740462560514E7	0.04%	30.43%	1.5s
118	1.1989629902589682E7	0.04%	30.42%	1.4s
119	1.1980178709772116E7	0.08%	30.40%	1.4s
120	1.1975197940297054E7	0.04%	30.39%	1.4s
121	1.1967312318825297E7	0.07%	30.37%	1.4s
122	1.1964279821546867E7	0.03%	30.37%	1.5s
123	1.195686844608332E7	0.06%	30.35%	1.4s
124	1.1953653654405763E7	0.03%	30.34%	1.5s
125	1.194959949273935E7	0.03%	30.33%	1.4s
126	1.1945305749650558E7	0.04%	30.32%	1.4s
127	1.1940859578487711E7	0.04%	30.31%	1.4s
128	1.193652900022655E7	0.04%	30.30%	1.5s
129	1.193340620300348E7	0.03%	30.29%	1.4s
130	1.1926028338494949E7	0.06%	30.27%	1.5s
131	1.1922840205204753E7	0.03%	30.27%	1.4s
132	1.191821326603729E7	0.04%	30.25%	1.4s
133	1.191072364801595E7	0.06%	30.24%	1.5s
134	1.1907852444906829E7	0.02%	30.23%	1.4s
135	1.1903201659432152E7	0.04%	30.22%	1.4s
136	1.1896067088992264E7	0.06%	30.21%	1.4s
137	1.1893710788198952E7	0.02%	30.20%	1.5s
138	1.1889114179646581E7	0.04%	30.19%	1.5s
139	1.188175636173325E7	0.06%	30.17%	1.4s
140	1.1879843209212624E7	0.02%	30.17%	1.4s
141	1.1872865828814974E7	0.06%	30.16%	1.5s
142	1.1871342956283428E7	0.01%	30.15%	1.5s
143	1.1864463304431012E7	0.06%	30.14%	1.5s
144	1.186237173859885E7	0.02%	30.13%	1.5s
145	1.185569237697211E7	0.06%	30.12%	1.5s
146	1.1854760654470138E7	0.01%	30.12%	1.5s
CPU time: 3.31min
