time	total error	% error	count	predicted
80	0.0	0.00	636.44	1852.34
81	563.1066518066742	72.21	779.82	2300.55
82	666.5477983182823	85.77	777.13	2637.56
83	1319.261017182153	175.18	753.08	2889.69
84	1199.0911409952244	138.08	868.41	3077.20
85	1300.401754325983	163.34	796.14	3215.79
86	934.3630509533286	92.86	1006.22	3317.79
87	823.5263169422077	75.38	1092.50	3392.94
88	757.503590650383	63.47	1193.55	3449.02
89	840.358703621083	66.43	1264.97	3492.30
90	919.3345255328933	70.23	1309.00	3527.94
91	1034.3662650893161	73.83	1401.00	3560.24
92	1141.1832911828863	81.34	1403.00	3592.86
93	1421.7288609586517	89.70	1585.00	3628.98
94	1857.5202898397608	103.94	1787.11	3671.48
95	1918.3865788831522	105.40	1820.05	3723.04
96	2198.4988315094097	111.62	1969.61	3786.22
97	997.7371882838655	44.08	2263.67	3848.52
98	743.003656157551	28.64	2594.48	3909.33
99	869.0201839791617	29.40	2955.48	3968.97
100	909.131670661408	26.46	3436.45	4028.33
101	1244.7422131351555	32.44	3837.06	4088.60
102	996.0456636405241	27.34	3642.56	4151.09
103	1775.9838321018256	57.24	3102.90	4217.17
104	1660.3425885358297	49.88	3328.57	4288.16
105	1470.8538628193933	39.96	3680.39	4365.33
106	1488.3512161134477	35.89	4146.64	4449.91
107	1638.7320150797495	36.50	4489.26	4543.05
108	1854.93242373156	40.07	4629.67	4645.86
109	1776.4421618288422	39.00	4554.71	4759.40
110	1730.1472730591977	39.25	4407.47	4884.73
111	2296.70497965044	51.74	4438.90	5022.89
112	2040.7422358482866	47.44	4301.74	5174.93
113	1813.2757975171378	41.07	4415.38	5341.94
114	1447.4674737182713	29.96	4831.69	5525.07
115	1367.3202517215243	28.53	4793.13	5725.50
116	1270.5384026267243	26.00	4887.11	5944.53
117	944.9748640800826	19.11	4944.39	6183.53
118	1063.7790970200579	22.04	4826.53	6324.86
119	1179.9174617147855	24.84	4750.79	6389.46
120	1049.4133905140368	21.21	4947.41	6394.29
121	1020.6226458995657	18.55	5502.94	6353.03
122	1239.4281435740254	22.26	5568.48	6276.75
123	1542.2095281747136	27.36	5636.12	6174.32
124	1830.315320961776	32.22	5681.36	6052.92
125	1502.1879570242534	26.54	5661.08	5918.26
126	1141.571073336367	21.55	5296.69	5774.94
127	1112.3298110095457	20.95	5309.59	5626.63
128	1251.3822994897082	22.42	5581.57	5476.23
129	1212.3976342725828	22.96	5281.21	5326.05
130	1152.0829683113743	22.62	5093.53	5177.92
131	1050.6596979466997	22.35	4701.97	5033.28
132	1084.6079793341992	26.15	4147.63	4893.25
133	1191.3364822080352	31.90	3734.49	4758.71
134	1033.2345208233253	27.83	3712.59	4630.34
135	840.0963250152718	21.38	3928.95	4508.70
136	675.0198036823226	16.77	4025.68	4394.19
137	835.4487702220264	22.80	3664.90	4287.17
138	963.442290672341	28.59	3370.43	4187.89
139	671.6505810567567	21.56	3114.72	4096.60
140	726.6605014686105	24.42	2975.57	4013.51
141	649.8640817596353	20.49	3171.66	3921.74
142	671.8527197496984	19.36	3470.73	3823.73
143	638.3795433241238	19.58	3260.65	3721.69
144	660.6724308132976	21.42	3083.87	3617.60
145	546.1466445673715	19.52	2797.85	3513.19
146	661.0050569529839	25.63	2578.98	3409.90
147	560.7177958957012	21.98	2550.98	3309.00
148	335.7306400926586	12.27	2736.15	3211.50
149	518.4532678878762	17.74	2922.81	3118.31
150	444.39260215327545	15.63	2843.92	3030.13
151	508.06392968478696	18.02	2819.96	2947.61
152	518.8462617209568	19.04	2725.49	2871.27
