time	total error	% error	count	predicted	reported*lambda	long time	total error	% error	count R	predicted R	 reported R*lambda	trips
03/22/2020	0.0	0.0	166.0	419.36003597398894	419.36003597398894	1584856800000	2.0198035165807915	201.98035165807914	1.0	0.0	2.0198035165807915	2143175.4666666654
03/23/2020	199.26632528783415	85.89065745165266	232.0	588.1445822452774	567.2219446554172	1584943200000	57.888773051131935	5788.877305113194	1.0	59.90857656771273	2.0198035165807915	2048541.7447619182
03/24/2020	253.8022616221593	97.61625447006128	260.0	698.6159781499802	495.07226964354317	1585029600000	141.99346724488262	14199.346724488263	1.0	143.9292311741809	1.9357639292982605	1939991.2990476342
03/25/2020	395.4656162110022	198.02985288482833	199.70000000000002	765.2799799789682	400.2515399223718	1585116000000	362.31845280711906	296.98233836649104	121.99999999999999	243.73151376703518	304.2868439983394	2059675.1238095192
03/26/2020	265.6249268580865	77.66810726844635	342.0	799.3123377793678	696.1922439033078	1585202400000	349.18569733400557	17459.28486670028	2.0	353.0572251926021	3.871527858596521	2017768.0169176504
03/27/2020	364.7718020841514	140.73529151747806	259.19	809.464051458328	542.5033246655156	1585288800000	452.8507601333433	254.40911013609096	178.001	467.24470201822595	348.39548881988406	1247032.5941465271
03/28/2020	415.1785208185086	175.86661606929155	236.07580000000002	819.2260371809261	508.7790767160373	1585375200000	408.289680391113	185.58604964500623	220.0002	582.8824236551299	387.6842900629522	1255692.5427169937
03/29/2020	381.54903192952855	140.78370171473122	271.0179	825.6917323216003	579.9071097440678	1585461600000	450.5041327286264	181.65540496631505	247.99929999999995	699.9147146809765	430.9557274578393	1948488.428353961
03/30/2020	479.96966296089965	84.65073420827154	567.0	829.9728359599641	1107.8051090891297	1585548000000	805.8054863309396	8953.394292565996	9.0	817.8706764412053	12.065190110265602	1936941.830259929
03/31/2020	316.01788726248964	50.970626977820906	620.0	835.5687192387059	882.9603299395804	1585634400000	927.0105995307252	10300.117772563615	9.0	936.4382244354855	9.42762490476024	1821475.8493204664
04/01/2020	308.28379423253284	45.33585209301954	680.0	842.4089896359802	960.0994663451011	1585720800000	1046.3775594219692	11626.417326910769	9.0	1055.8051843267292	9.42762490476024	1708896.5179045005
04/02/2020	332.7633937614134	45.45948002205101	732.0	850.2019131422	1024.379840396925	1585807200000	1165.7217007985382	11657.217007985382	10.0	1176.1493257032985	10.42762490476024	1394251.719844339
04/03/2020	371.3718053732397	47.79559914713509	777.0	858.8756872044521	1081.3484203919165	1585893600000	1286.179116961709	11692.537426924628	11.0	1297.6067418664693	11.42762490476024	1527037.5979248122
04/04/2020	462.7356717048737	104.96429021400012	440.85056999999995	867.7886099678843	581.2892098188158	1585980000000	809.215228736826	186.02743019317015	434.99780000000004	1420.3032686099627	645.117483158839	1489511.1541194345
04/05/2020	418.9995797563847	85.745372120428	488.6556200000001	878.1267944351551	665.3732657611918	1586066400000	912.0715562628867	203.5856286659306	448.0038999999998	1544.2730700339457	654.2955846429363	1815702.5502735595
04/06/2020	426.4463115221579	82.52157292067648	516.76949	890.2081210473503	693.6146439441545	1586152800000	988.9573329888132	210.41564798024456	470.00180000000006	1669.7197549532539	696.6203563112525	1876322.1902667237
04/07/2020	415.2384168636826	79.86284849088675	519.939402	905.52551981076	725.6420622221333	1586239200000	945.1636325913774	172.16010642413553	549.0026999999999	1796.892343674304	979.5955618255383	1882095.489313741
04/08/2020	376.52994147665913	71.72683350532894	524.9499010000001	924.3491652974816	726.7662720708369	1586325600000	998.435878007033	157.98136032617825	631.9959999999998	1926.253132218698	1103.943702256708	1841682.3959848753
04/09/2020	356.4108508186156	62.54505393690625	569.8465799999999	946.8367458284439	800.8625514143715	1586412000000	1067.075960649857	158.08490594393342	675.0017999999997	2058.303012975482	1161.4406643246514	1778176.1064681855
04/10/2020	333.5545006695662	54.994346840364926	606.52507	973.123681448372	873.418376672125	1586498400000	1119.7769024156355	152.97563451643518	731.9969000000001	2193.565405236687	1233.5858682920486	1749309.611233319
04/11/2020	323.73014249973653	50.866108121713644	636.4358400000002	1003.4291919265983	912.0146626985062	1586584800000	1203.5188470511832	151.95916258380615	792.0014999999999	2332.583074015027	1343.6531897337431	995894.0856030927
04/12/2020	429.2623608582132	55.04624442031982	779.8213399999999	1038.2404442182246	1120.6343358456652	1586671200000	1296.9953667045997	154.03783865786355	841.9979000000003	2475.930101433112	1406.209788927403	1804155.9521795502
04/13/2020	453.1092538936877	58.30513077782042	777.1344440000001	1075.8629627943378	1133.2641484299015	1586757600000	1429.9815440081434	169.83159780319912	841.9997000000001	2624.250164892859	1384.5782385192522	1879208.8397901678
04/14/2020	451.46507557800555	59.948844950415705	753.0838599999998	1120.3870829556859	909.6556133047179	1586844000000	2121.6194836214245	233.40158605365986	908.9996000000003	2777.9448738634783	1445.792275549983	1977354.9235888307
04/15/2020	415.47491984175906	47.84339581276028	868.4060000000001	1172.6939894880425	1017.4808201371504	1586930400000	2252.7992159509904	239.6599499819246	939.9981999999995	2938.000171428576	1492.245365125349	1980241.5731123274
04/16/2020	488.37416897255497	61.343065026743346	796.1359100000002	1233.9828472110921	922.0894327037997	1587016800000	2338.577379756396	230.85591846780284	1013.0029999999997	3105.5278842125817	1589.6984345826427	1954261.7274009055
04/17/2020	440.7236378017804	43.79990733261368	1006.2204799999997	1305.3539625664039	1220.6237257568814	1587103200000	2419.4389978974195	226.9639393469352	1066.0015	3281.8111480998805	1637.699389861274	1962921.6759713588
