time	total error	% error	count	predicted	reported*lambda	long time	total error	% error	count R	predicted R	 reported R*lambda	trips
03/22/2020	0.0	0.0	166.0	405.6756119049179	405.6756119049179	1584856800000	2.013627137782825	201.3627137782825	1.0	0.0	2.013627137782825	2143175.4666666654
03/23/2020	294.654589590182	127.00628861645777	232.0	662.1415328699363	546.2363088743481	1584943200000	55.94003170577686	5594.003170577686	1.0	57.95365884355969	2.013627137782825	2048541.7447619182
03/24/2020	359.05146666129656	138.09671794665252	260.0	834.2832987637684	540.3787454399528	1585029600000	150.68766884802915	15068.766884802915	1.0	152.54530639640777	1.8576375483785947	1939991.2990476342
03/25/2020	496.51884212550647	248.632369617179	199.70000000000002	942.623685115604	478.5576166219203	1585116000000	332.1369365271311	272.24339059600914	121.99999999999999	271.72863479123174	246.59423432580556	2059675.1238095192
03/26/2020	412.60905310139924	120.64592195947347	342.0	1003.0686471374012	774.604127291648	1585202400000	402.6738861395608	20133.69430697804	2.0	406.389161236318	3.7152750967571895	2023769.6686640377
03/27/2020	430.86101684622173	166.2336574891862	259.19	1028.4093127719257	694.677147967959	1585288800000	499.4028086175524	280.56179943795394	178.001	549.6846822559469	306.2983125047774	1250741.7694747704
03/28/2020	545.0855488133827	230.8942927709586	236.07580000000002	1047.879852625891	622.976792286818	1585375200000	488.11478469912737	221.87015498128062	220.0002	696.6002983662221	425.90590239066097	1259427.476207259
03/29/2020	512.1137322875834	188.9593758521424	271.0179	1058.6094065580173	695.8794394695188	1585461600000	586.9649132231353	236.68006854178034	247.99929999999995	846.2974201699202	469.22800684285835	1954284.0148043276
03/30/2020	654.3240052408942	115.40105912537817	567.0	1063.3366567083922	1323.6218951769213	1585548000000	985.9871043371292	10955.412270412546	9.0	997.5273353924944	11.540231055365185	1942703.0724944551
03/31/2020	401.73250399026915	64.79556515972084	620.0	1068.2571750482184	986.4217880269917	1585634400000	1140.294783816951	12669.942042410567	9.0	1149.4325720651216	9.137788248170494	1826893.6493948854
04/01/2020	354.67313180444245	52.157813500653305	680.0	1073.630971677874	1081.7952095199746	1585720800000	1292.9029516809824	14365.588352010915	9.0	1302.040739929153	9.137788248170494	1713979.4618728575
04/02/2020	327.0856829976896	44.68383647509421	732.0	1079.1823750121303	1158.180566215075	1585807200000	1445.278804777822	14452.78804777822	10.0	1455.4165930259926	10.137788248170494	1398398.7839266858
04/03/2020	360.10453689673244	46.345500244109715	777.0	1084.875901010979	1227.7327206722543	1585893600000	1598.4477154938404	14531.342868125823	11.0	1609.5855037420108	11.137788248170494	1531579.620491138
04/04/2020	492.2925284164803	111.66879707481844	440.85056999999995	1089.6991383307986	732.4220377972629	1585980000000	1145.1687470591646	263.2585146543648	434.99780000000004	1764.5677753150087	660.1518558870497	1493941.5579838199
04/05/2020	489.1217041086292	100.09538089598337	488.6556200000001	1095.5075887440894	817.8138008692455	1586066400000	1276.66975130171	284.9684458777503	448.0038999999998	1920.2390807908366	669.5820733589422	1821103.1782398857
04/06/2020	495.2269613989951	95.83130795879515	516.76949	1102.7394097746248	836.949579472763	1586152800000	1378.3056836738094	293.25540533542835	470.00180000000006	2076.740164897136	722.136844536543	1881903.125367189
04/07/2020	496.6175850808431	95.51451249329304	519.939402	1113.6372512974526	867.3326401344141	1586239200000	1325.022901211807	241.3508897518732	549.0026999999999	2234.274366293509	1018.216360807511	1887693.5965220935
04/08/2020	454.3068730401298	86.54290098439884	524.9499010000001	1128.475461005379	843.9945848067222	1586325600000	1361.8028303123383	215.4764951538204	631.9959999999998	2393.3654021931457	1177.7290447611838	1847160.2984373057
04/09/2020	420.47335236377074	73.78711518524351	569.8465799999999	1147.3092239019963	914.4611579609386	1586412000000	1461.1635356725728	216.46809470323984	675.0017999999997	2554.576182336772	1246.4927434977326	1783465.1157326114
04/10/2020	392.2854616950918	64.67753454858705	606.52507	1170.1191837439148	994.1745022698849	1586498400000	1550.5946011300646	211.8307606398421	731.9969000000001	2718.477500037056	1320.0800206088752	1493941.5579838199
04/11/2020	370.07282036081597	58.14770273792498	636.4358400000002	1196.9736809424944	1011.4730746002136	1586584800000	1592.4567506573856	201.0673907381976	792.0014999999999	2885.6373834290443	1455.8780565573147	1821103.1782398857
04/12/2020	476.62981483349415	61.12038621993779	779.8213399999999	1227.0869155576072	1226.3076924787338	1586671200000	1689.4831720377447	200.65170851824502	841.9979000000003	3056.6336235636873	1544.5419612633912	1881903.125367189
04/13/2020	458.0816809015958	58.94497206220804	777.1344440000001	1263.0228391167059	1229.8023184798171	1586757600000	1869.7116564389332	222.05609532152246	841.9997000000001	3231.931754357631	1531.295756949783	1887693.5965220935
04/14/2020	514.26013631391	68.28723381668412	753.0838599999998	1305.617597972011	993.8790908720467	1586844000000	2553.294618438226	280.89062068214605	908.9996000000003	3412.363588517159	1649.4419558848663	1847160.2984373057
04/15/2020	484.26013897146436	55.764255310472784	868.4060000000001	1355.5712551386305	1109.9621241551504	1586930400000	2698.640872292375	287.09000424600566	939.9981999999995	3598.880388227446	1702.351547400754	1398398.7839266858
04/16/2020	555.6583835019984	69.79441280346194	796.1359100000002	1413.5906285315405	1001.3404037208651	1587016800000	2794.7040523294777	275.88309731851524	1013.0029999999997	3792.5334246758234	1814.1944339998252	1531579.620491138
04/17/2020	461.81503158915336	45.89600795932453	1006.2204799999997	1478.6166601368147	1292.0336943509274	1587103200000	2892.244039552003	271.3170703373309	1066.0015	3994.4749430374723	1868.932604247596	1493941.5579838199
