date,weekday,District,vmt.sum,vmt.predict,typical_vmt_diff
1/20/2021,Wednesday,MnDOT Statewide,NA,NA,3.6
1/21/2021,Thursday,MnDOT Statewide,NA,NA,-1.3
1/22/2021,Friday,MnDOT Statewide,NA,NA,2.5
1/23/2021,Saturday,MnDOT Statewide,NA,NA,4.7
1/24/2021,Sunday,MnDOT Statewide,NA,NA,2.6
1/25/2021,Monday,MnDOT Statewide,NA,NA,2.5
1/26/2021,Tuesday,MnDOT Statewide,NA,NA,2.2
1/27/2021,Wednesday,MnDOT Statewide,NA,NA,3.6
1/28/2021,Thursday,MnDOT Statewide,NA,NA,-1.3
1/29/2021,Friday,MnDOT Statewide,NA,NA,2.5
1/30/2021,Saturday,MnDOT Statewide,NA,NA,4.7
1/31/2021,Sunday,MnDOT Statewide,NA,NA,2.6
