scenario
T = 153
lambda_periods = 12
r_periods = 7
Iteration	Objective	Obj. change	Error	CPU time (s)
1	1.1963603022067387E11	17.88%	15683.15%	0.0
2	1.1265647821218431E11	5.83%	15911.91%	0.0
3	3.9905553091424924E8	99.65%	936.12%	0.0
4	1.5576897384004956E8	60.97%	517.11%	0.0
5	1.0444857068352774E8	32.95%	358.64%	0.0
6	9.094256440653764E7	12.93%	325.74%	0.0
7	8.936191246376945E7	1.74%	320.91%	0.0
8	8.919113427791634E7	0.19%	320.37%	0.0
9	8.918063968909487E7	0.01%	320.33%	0.0
10	8.917539868697426E7	0.01%	320.32%	0.0
