scenario
T = 153
lambda_periods = 12
r_periods = 7
Iteration	Objective	Obj. change	Error	CPU time (s)
1	1.2068639864812624E11	17.14%	15766.87%	0.0
2	1.132902565289039E11	6.13%	16008.16%	0.0
3	3.473640790929566E8	99.69%	835.11%	0.0
4	1.4216928463252357E8	59.07%	468.01%	0.0
5	1.0024791169666912E8	29.49%	346.65%	0.0
6	8.748641038672912E7	12.73%	314.55%	0.0
7	8.601367279197337E7	1.68%	309.82%	0.0
8	8.585508311273554E7	0.18%	309.29%	0.0
9	8.583560662305215E7	0.02%	309.22%	0.0
10	8.58258922845345E7	0.01%	309.19%	0.0
11	8.582346646849461E7	0.00%	309.18%	0.0
