scenario
T = 153
lambda_periods = 12
r_periods = 7
Iteration	Objective	Obj. change	Error	CPU time (s)
1	1.198953377565745E11	17.44%	15760.74%	0.0
2	1.1325641211100652E11	5.54%	15988.81%	0.0
3	3.6723124383540606E8	99.68%	877.93%	0.0
4	1.5240371556858554E8	58.50%	494.16%	0.0
5	1.060960568685371E8	30.38%	361.27%	0.0
6	9.20521834142693E7	13.24%	328.04%	0.0
7	9.040286091022134E7	1.79%	323.21%	0.0
8	9.004821367895058E7	0.39%	322.12%	0.0
9	8.996268177024032E7	0.09%	321.85%	0.0
10	8.994148790492204E7	0.02%	321.78%	0.0
11	8.99388443071624E7	0.00%	321.77%	0.0
