time	avg r	avg lambda	avg. rho
03/22/2020	0.9107491032094793	0.47643663834937433	0.04083541273177073
03/23/2020	0.8070958017525904	0.47643663834937433	0.04083541273177073
03/24/2020	0.7921766309649332	0.6297311405078486	0.04083541273177073
03/25/2020	0.7374596498609671	0.6297311405078486	0.04083541273177073
03/26/2020	2.555433203836113	0.6297311405078486	0.19480093734827075
03/27/2020	2.288289275646466	0.6297311405078486	0.19480093734827075
03/28/2020	2.1137015846629432	0.6297311405078486	0.19480093734827075
03/29/2020	2.2451884104613686	0.6297311405078486	0.19480093734827075
03/30/2020	2.128317822538264	0.6297311405078486	0.19480093734827075
03/31/2020	1.9905119363044692	0.8148301377366378	0.19480093734827075
04/01/2020	1.8782522407401363	0.8148301377366378	0.19480093734827075
04/02/2020	1.738292800622926	0.8148301377366378	0.19480093734827075
04/03/2020	1.7273097352808293	0.8148301377366378	0.19480093734827075
04/04/2020	1.6852772787060573	0.8148301377366378	0.19480093734827075
04/05/2020	1.719242712717576	0.8148301377366378	0.19480093734827075
04/06/2020	1.7032395023928595	0.8148301377366378	0.19480093734827075
04/07/2020	1.6811457139933481	0.7148673136635926	0.19480093734827075
04/08/2020	1.655687809639564	0.7148673136635926	0.19480093734827075
04/09/2020	1.6309021457161474	0.7148673136635926	0.19480093734827075
04/10/2020	1.6146307731670668	0.7148673136635926	0.19480093734827075
04/11/2020	1.50404952107904	0.7148673136635926	0.19480093734827075
04/12/2020	1.6046337868737013	0.7148673136635926	0.19480093734827075
04/13/2020	1.6091617690716848	0.7148673136635926	0.19480093734827075
04/14/2020	1.6175262327462732	0.8062091517660062	0.19480093734827075
04/15/2020	1.6155737489160187	0.8062091517660062	0.19480093734827075
04/16/2020	1.6115631493470468	0.8062091517660062	0.19480093734827075
04/17/2020	1.6131309015362378	0.8062091517660062	0.19480093734827075
04/18/2020	1.5984650367331166	0.8062091517660062	0.19480093734827075
04/19/2020	1.6275151105099723	0.8062091517660062	0.19480093734827075
04/20/2020	1.6433171677045557	0.8062091517660062	0.19480093734827075
04/21/2020	1.6698195812055951	0.8432775942465975	0.19480093734827075
04/22/2020	1.670437555931325	0.8432775942465975	0.19480093734827075
04/23/2020	1.6733359208852943	0.8432775942465975	0.19480093734827075
04/24/2020	1.6889652665707908	0.8432775942465975	0.19480093734827075
04/25/2020	1.697074379455135	0.8432775942465975	0.19480093734827075
04/26/2020	2.2773640783979894	0.8432775942465975	0.23974175601016476
04/27/2020	2.2881111392904137	0.8432775942465975	0.23974175601016476
04/28/2020	2.310303601219322	0.898455366497408	0.23974175601016476
04/29/2020	2.2936129429029286	0.898455366497408	0.23974175601016476
04/30/2020	2.1502166708463233	0.898455366497408	0.23974175601016476
05/01/2020	2.1139260290563247	0.898455366497408	0.23974175601016476
05/02/2020	2.059454475885122	0.898455366497408	0.23974175601016476
05/03/2020	2.0645860724478706	0.898455366497408	0.23974175601016476
05/04/2020	2.0188928329167255	0.898455366497408	0.23974175601016476
05/05/2020	2.0223453726964014	0.7703803747811712	0.23974175601016476
05/06/2020	1.995961877209848	0.7703803747811712	0.23974175601016476
05/07/2020	1.9812492086735967	0.7703803747811712	0.23974175601016476
05/08/2020	1.955399615891424	0.7703803747811712	0.23974175601016476
05/09/2020	1.9479069412399903	0.7703803747811712	0.23974175601016476
05/10/2020	1.9854084739924294	0.7703803747811712	0.23974175601016476
05/11/2020	1.9873810156553273	0.7703803747811712	0.23974175601016476
05/12/2020	1.9769801344706732	0.7848565041439873	0.23974175601016476
05/13/2020	1.987549557785076	0.7848565041439873	0.23974175601016476
05/14/2020	1.9963685136254603	0.7848565041439873	0.23974175601016476
05/15/2020	1.9795256335630094	0.7848565041439873	0.23974175601016476
05/16/2020	1.9759046916966874	0.7848565041439873	0.23974175601016476
05/17/2020	0.8434775214067723	0.7848565041439873	0.07647811271305124
05/18/2020	0.8622084169956933	0.7848565041439873	0.07647811271305124
05/19/2020	0.8569768239067107	0.7965727697473681	0.07647811271305124
05/20/2020	0.8304390726134738	0.7965727697473681	0.07647811271305124
05/21/2020	0.8022446670660339	0.7965727697473681	0.07647811271305124
05/22/2020	0.7601675380699978	0.7965727697473681	0.07647811271305124
05/23/2020	0.7257877160573016	0.7965727697473681	0.07647811271305124
05/24/2020	0.7237468008997014	0.7965727697473681	0.07647811271305124
05/25/2020	0.7280249131177714	0.7965727697473681	0.07647811271305124
05/26/2020	0.7191746727504592	0.8634039434011049	0.07647811271305124
05/27/2020	0.700923009972537	0.8634039434011049	0.07647811271305124
05/28/2020	0.68869858885314	0.8634039434011049	0.07647811271305124
05/29/2020	0.6800080014297492	0.8634039434011049	0.07647811271305124
05/30/2020	0.6743824686378506	0.8634039434011049	0.07647811271305124
05/31/2020	0.6727342775685898	0.8634039434011049	0.07647811271305124
06/01/2020	0.6677813402319295	0.8634039434011049	0.07647811271305124
06/02/2020	0.6667818720979668	0.7737819604694539	0.07647811271305124
06/03/2020	0.6639481270642162	0.7737819604694539	0.07647811271305124
06/04/2020	0.6633535380452787	0.7737819604694539	0.07647811271305124
06/05/2020	0.6573609171250177	0.7737819604694539	0.07647811271305124
06/06/2020	0.6498396991524341	0.7737819604694539	0.07647811271305124
06/07/2020	0.6581729394474669	0.7737819604694539	0.07647811271305124
06/08/2020	0.6542572274207797	0.7737819604694539	0.07647811271305124
06/09/2020	1.4810824215726521	0.7294147660651928	0.09699383550804148
06/10/2020	1.6004800758801774	0.7294147660651928	0.09699383550804148
06/11/2020	1.4476068920712344	0.7294147660651928	0.09699383550804148
