time	r	lambda
03/22/2020	0.01347121081748564	2.013627137782825
03/23/2020	0.01347121081748564	2.013627137782825
03/24/2020	0.01347121081748564	1.8576375483785947
03/25/2020	0.01347121081748564	1.8576375483785947
03/26/2020	1.0517047086537379	1.8576375483785947
03/27/2020	1.0517047086537379	1.8576375483785947
03/28/2020	1.0517047086537379	1.8576375483785947
03/29/2020	1.0517047086537379	1.8576375483785947
03/30/2020	1.0517047086537379	1.8576375483785947
03/31/2020	1.0517047086537379	1.0688941240852468
04/01/2020	1.0517047086537379	1.0688941240852468
04/02/2020	1.0517047086537379	1.0688941240852468
04/03/2020	1.0517047086537379	1.0688941240852468
04/04/2020	1.0517047086537379	1.0688941240852468
04/05/2020	1.0517047086537379	1.0688941240852468
04/06/2020	1.0517047086537379	1.0688941240852468
04/07/2020	1.0517047086537379	1.4073173665681833
04/08/2020	1.0517047086537379	1.4073173665681833
04/09/2020	1.0517047086537379	1.4073173665681833
04/10/2020	1.0517047086537379	1.4073173665681833
04/11/2020	1.0517047086537379	1.4073173665681833
04/12/2020	1.0517047086537379	1.4073173665681833
04/13/2020	1.0517047086537379	1.4073173665681833
04/14/2020	1.0517047086537379	1.432833718424686
04/15/2020	1.0517047086537379	1.432833718424686
04/16/2020	1.0517047086537379	1.432833718424686
04/17/2020	1.0517047086537379	1.432833718424686
04/18/2020	1.0517047086537379	1.432833718424686
04/19/2020	1.0517047086537379	1.432833718424686
04/20/2020	1.0517047086537379	1.432833718424686
04/21/2020	1.0517047086537379	1.325492282497555
04/22/2020	1.0517047086537379	1.325492282497555
04/23/2020	1.0517047086537379	1.325492282497555
04/24/2020	1.0517047086537379	1.325492282497555
04/25/2020	1.0517047086537379	1.325492282497555
04/26/2020	1.916720663670756	1.325492282497555
04/27/2020	1.916720663670756	1.325492282497555
04/28/2020	1.916720663670756	1.0648149206920032
04/29/2020	1.916720663670756	1.0648149206920032
04/30/2020	1.916720663670756	1.0648149206920032
05/01/2020	1.916720663670756	1.0648149206920032
05/02/2020	1.916720663670756	1.0648149206920032
05/03/2020	1.916720663670756	1.0648149206920032
05/04/2020	1.916720663670756	1.0648149206920032
05/05/2020	1.916720663670756	1.1662349711443263
05/06/2020	1.916720663670756	1.1662349711443263
05/07/2020	1.916720663670756	1.1662349711443263
05/08/2020	1.916720663670756	1.1662349711443263
05/09/2020	1.916720663670756	1.1662349711443263
05/10/2020	1.916720663670756	1.1662349711443263
05/11/2020	1.916720663670756	1.1662349711443263
05/12/2020	1.916720663670756	1.2315779582307547
05/13/2020	1.916720663670756	1.2315779582307547
05/14/2020	1.916720663670756	1.2315779582307547
05/15/2020	1.916720663670756	1.2315779582307547
05/16/2020	1.916720663670756	1.2315779582307547
05/17/2020	0.685611495753495	1.2315779582307547
05/18/2020	0.685611495753495	1.2315779582307547
05/19/2020	0.685611495753495	1.107708623034467
05/20/2020	0.685611495753495	1.107708623034467
05/21/2020	0.685611495753495	1.107708623034467
05/22/2020	0.685611495753495	1.107708623034467
05/23/2020	0.685611495753495	1.107708623034467
05/24/2020	0.685611495753495	1.107708623034467
05/25/2020	0.685611495753495	1.107708623034467
05/26/2020	0.685611495753495	1.0
05/27/2020	0.685611495753495	1.0
05/28/2020	0.685611495753495	1.0
05/29/2020	0.685611495753495	1.0
05/30/2020	0.685611495753495	1.0
05/31/2020	0.685611495753495	1.0
06/01/2020	0.685611495753495	1.0
06/02/2020	0.685611495753495	1.2468773373558648
06/03/2020	0.685611495753495	1.2468773373558648
06/04/2020	0.685611495753495	1.2468773373558648
06/05/2020	0.685611495753495	1.2468773373558648
06/06/2020	0.685611495753495	1.2468773373558648
06/07/2020	0.685611495753495	1.2468773373558648
06/08/2020	0.685611495753495	1.2468773373558648
06/09/2020	0.5252088735418281	1.4713165806235657
06/10/2020	0.5252088735418281	1.4713165806235657
06/11/2020	0.5252088735418281	1.4713165806235657
06/12/2020	0.5252088735418281	1.4713165806235657
06/13/2020	0.5252088735418281	1.4713165806235657
06/14/2020	0.5252088735418281	1.4713165806235657
06/15/2020	0.5252088735418281	1.4713165806235657
06/16/2020	0.5252088735418281	1.5206531776435972
06/17/2020	0.5252088735418281	1.5206531776435972
06/18/2020	0.5252088735418281	1.5206531776435972
06/19/2020	0.5252088735418281	1.5206531776435972
06/20/2020	0.5252088735418281	1.5206531776435972
06/21/2020	0.5252088735418281	1.5206531776435972
06/22/2020	0.5252088735418281	1.5206531776435972
