time	r	lambda
03/22/2020	0.0	1.9070363602218026
03/23/2020	0.0	1.9070363602218026
03/24/2020	0.0	1.164991191721599
03/25/2020	0.0	1.164991191721599
03/26/2020	1.1483940350000295	1.164991191721599
03/27/2020	1.1483940350000295	1.164991191721599
03/28/2020	1.1483940350000295	1.164991191721599
03/29/2020	1.1483940350000295	1.164991191721599
03/30/2020	1.1483940350000295	1.164991191721599
03/31/2020	1.1483940350000295	1.0
04/01/2020	1.1483940350000295	1.0
04/02/2020	1.1483940350000295	1.0
04/03/2020	1.1483940350000295	1.0
04/04/2020	1.1483940350000295	1.0
04/05/2020	1.1483940350000295	1.0
04/06/2020	1.1483940350000295	1.0
04/07/2020	1.1483940350000295	1.536216178455508
04/08/2020	1.1483940350000295	1.536216178455508
04/09/2020	1.1483940350000295	1.536216178455508
04/10/2020	1.1483940350000295	1.536216178455508
04/11/2020	1.1483940350000295	1.536216178455508
04/12/2020	1.1483940350000295	1.536216178455508
04/13/2020	1.1483940350000295	1.536216178455508
04/14/2020	1.1483940350000295	1.0
04/15/2020	1.1483940350000295	1.0
04/16/2020	1.1483940350000295	1.0
04/17/2020	1.1483940350000295	1.0
04/18/2020	1.1483940350000295	1.0
04/19/2020	1.1483940350000295	1.0
04/20/2020	1.1483940350000295	1.0
04/21/2020	1.1483940350000295	1.0
04/22/2020	1.1483940350000295	1.0
04/23/2020	1.1483940350000295	1.0
04/24/2020	1.1483940350000295	1.0
04/25/2020	1.1483940350000295	1.0
04/26/2020	1.042652551740161	1.0
04/27/2020	1.042652551740161	1.0
04/28/2020	1.042652551740161	1.0
04/29/2020	1.042652551740161	1.0
04/30/2020	1.042652551740161	1.0
05/01/2020	1.042652551740161	1.0
05/02/2020	1.042652551740161	1.0
05/03/2020	1.042652551740161	1.0
05/04/2020	1.042652551740161	1.0
05/05/2020	1.042652551740161	1.2878130367239873
05/06/2020	1.042652551740161	1.2878130367239873
05/07/2020	1.042652551740161	1.2878130367239873
05/08/2020	1.042652551740161	1.2878130367239873
05/09/2020	1.042652551740161	1.2878130367239873
05/10/2020	1.042652551740161	1.2878130367239873
05/11/2020	1.042652551740161	1.2878130367239873
05/12/2020	1.042652551740161	1.1097891881080184
05/13/2020	1.042652551740161	1.1097891881080184
05/14/2020	1.042652551740161	1.1097891881080184
05/15/2020	1.042652551740161	1.1097891881080184
05/16/2020	1.042652551740161	1.1097891881080184
05/17/2020	0.4168346577214879	1.1097891881080184
05/18/2020	0.4168346577214879	1.1097891881080184
05/19/2020	0.4168346577214879	1.0122738815746284
05/20/2020	0.4168346577214879	1.0122738815746284
05/21/2020	0.4168346577214879	1.0122738815746284
05/22/2020	0.4168346577214879	1.0122738815746284
05/23/2020	0.4168346577214879	1.0122738815746284
05/24/2020	0.4168346577214879	1.0122738815746284
05/25/2020	0.4168346577214879	1.0122738815746284
05/26/2020	0.4168346577214879	1.0
05/27/2020	0.4168346577214879	1.0
05/28/2020	0.4168346577214879	1.0
05/29/2020	0.4168346577214879	1.0
05/30/2020	0.4168346577214879	1.0
05/31/2020	0.4168346577214879	1.0
06/01/2020	0.4168346577214879	1.0
06/02/2020	0.4168346577214879	1.3838077166293439
06/03/2020	0.4168346577214879	1.3838077166293439
06/04/2020	0.4168346577214879	1.3838077166293439
06/05/2020	0.4168346577214879	1.3838077166293439
06/06/2020	0.4168346577214879	1.3838077166293439
06/07/2020	0.4168346577214879	1.3838077166293439
06/08/2020	0.4168346577214879	1.3838077166293439
06/09/2020	0.3491410464592558	1.8064527702689601
06/10/2020	0.3491410464592558	1.8064527702689601
06/11/2020	0.3491410464592558	1.8064527702689601
06/12/2020	0.3491410464592558	1.8064527702689601
06/13/2020	0.3491410464592558	1.8064527702689601
06/14/2020	0.3491410464592558	1.8064527702689601
06/15/2020	0.3491410464592558	1.8064527702689601
06/16/2020	0.3491410464592558	2.1173789016444684
06/17/2020	0.3491410464592558	2.1173789016444684
06/18/2020	0.3491410464592558	2.1173789016444684
06/19/2020	0.3491410464592558	2.1173789016444684
06/20/2020	0.3491410464592558	2.1173789016444684
06/21/2020	0.3491410464592558	2.1173789016444684
06/22/2020	0.3491410464592558	2.1173789016444684
