time	avg r	avg lambda	avg. rho
03/22/2020	0.5927327134700502	0.48228222187217057	0.03134233822026418
03/23/2020	0.3907264295333319	0.48228222187217057	0.03134233822026418
03/24/2020	0.3961796322546418	0.5746837138342934	0.03134233822026418
03/25/2020	0.38965312135098534	0.5746837138342934	0.03134233822026418
03/26/2020	2.945465453472053	0.5746837138342934	0.16392328624465588
03/27/2020	2.681090411071239	0.5746837138342934	0.16392328624465588
03/28/2020	2.2439908702556655	0.5746837138342934	0.16392328624465588
03/29/2020	2.414418806883026	0.5746837138342934	0.16392328624465588
03/30/2020	2.23017133625779	0.5746837138342934	0.16392328624465588
03/31/2020	2.020351328310248	0.7408387094271521	0.16392328624465588
04/01/2020	1.8528972409114877	0.7408387094271521	0.16392328624465588
04/02/2020	1.6514810778128293	0.7408387094271521	0.16392328624465588
04/03/2020	1.6306500087336593	0.7408387094271521	0.16392328624465588
04/04/2020	1.5680381772809844	0.7408387094271521	0.16392328624465588
04/05/2020	1.6067671961792762	0.7408387094271521	0.16392328624465588
04/06/2020	1.5789893145374727	0.7408387094271521	0.16392328624465588
04/07/2020	1.5438843832721556	0.6383581849731748	0.16392328624465588
04/08/2020	1.5054015507192462	0.6383581849731748	0.16392328624465588
04/09/2020	1.4688294715504129	0.6383581849731748	0.16392328624465588
04/10/2020	1.4436836733591976	0.6383581849731748	0.16392328624465588
04/11/2020	1.3077192801731534	0.6383581849731748	0.16392328624465588
04/12/2020	1.4220879013445737	0.6383581849731748	0.16392328624465588
04/13/2020	1.4226334231459306	0.6383581849731748	0.16392328624465588
04/14/2020	1.4276910670990384	0.7445131993299383	0.16392328624465588
04/15/2020	1.4210661785543575	0.7445131993299383	0.16392328624465588
04/16/2020	1.4124847875008972	0.7445131993299383	0.16392328624465588
04/17/2020	1.4104402297135354	0.7445131993299383	0.16392328624465588
04/18/2020	1.3909286327732968	0.7445131993299383	0.16392328624465588
04/19/2020	1.4191251980426884	0.7445131993299383	0.16392328624465588
04/20/2020	1.4327863473139355	0.7445131993299383	0.16392328624465588
04/21/2020	1.4579023165888874	0.8040887598785843	0.16392328624465588
04/22/2020	1.4554757444375035	0.8040887598785843	0.16392328624465588
04/23/2020	1.455799121601126	0.8040887598785843	0.16392328624465588
04/24/2020	1.4695696765622572	0.8040887598785843	0.16392328624465588
04/25/2020	1.47544089027321	0.8040887598785843	0.16392328624465588
04/26/2020	2.1864687742510345	0.8040887598785843	0.21570697483436485
04/27/2020	2.186171789098162	0.8040887598785843	0.21570697483436485
04/28/2020	2.21634188351624	0.8826373742143421	0.21570697483436485
04/29/2020	2.208411605369533	0.8826373742143421	0.21570697483436485
04/30/2020	2.055972189959696	0.8826373742143421	0.21570697483436485
05/01/2020	2.0239686324072945	0.8826373742143421	0.21570697483436485
05/02/2020	1.9677765414609598	0.8826373742143421	0.21570697483436485
05/03/2020	1.979549494803424	0.8826373742143421	0.21570697483436485
05/04/2020	1.9293219480180694	0.8826373742143421	0.21570697483436485
05/05/2020	1.936669090471229	0.7476821967444073	0.21570697483436485
05/06/2020	1.9067369046788905	0.7476821967444073	0.21570697483436485
05/07/2020	1.8899032798214355	0.7476821967444073	0.21570697483436485
05/08/2020	1.8584265781093994	0.7476821967444073	0.21570697483436485
05/09/2020	1.8488587819742957	0.7476821967444073	0.21570697483436485
05/10/2020	1.8942191595190145	0.7476821967444073	0.21570697483436485
05/11/2020	1.8951444975752467	0.7476821967444073	0.21570697483436485
05/12/2020	1.8803506169811024	0.7775592988520864	0.21570697483436485
05/13/2020	1.8906819198277176	0.7775592988520864	0.21570697483436485
05/14/2020	1.8983209545823414	0.7775592988520864	0.21570697483436485
05/15/2020	1.874752160472647	0.7775592988520864	0.21570697483436485
05/16/2020	1.8668754218345074	0.7775592988520864	0.21570697483436485
05/17/2020	0.8359789344979214	0.7775592988520864	0.07224528781646015
05/18/2020	0.8552987467969639	0.7775592988520864	0.07224528781646015
05/19/2020	0.8574980932284205	0.794661609239111	0.07224528781646015
05/20/2020	0.8352972033384461	0.794661609239111	0.07224528781646015
05/21/2020	0.8085585033927292	0.794661609239111	0.07224528781646015
05/22/2020	0.7645115693689897	0.794661609239111	0.07224528781646015
05/23/2020	0.7275059572252801	0.794661609239111	0.07224528781646015
05/24/2020	0.7262005891666585	0.794661609239111	0.07224528781646015
05/25/2020	0.7319279789996862	0.794661609239111	0.07224528781646015
05/26/2020	0.7224842489175902	0.8568456889385503	0.07224528781646015
05/27/2020	0.7018733744880581	0.8568456889385503	0.07224528781646015
05/28/2020	0.6879075079649196	0.8568456889385503	0.07224528781646015
05/29/2020	0.6778505810334808	0.8568456889385503	0.07224528781646015
05/30/2020	0.6712438538241068	0.8568456889385503	0.07224528781646015
05/31/2020	0.6692055452893697	0.8568456889385503	0.07224528781646015
06/01/2020	0.6632069412596238	0.8568456889385503	0.07224528781646015
06/02/2020	0.6617546829170999	0.7571746276041088	0.07224528781646015
06/03/2020	0.6580536896268864	0.7571746276041088	0.07224528781646015
06/04/2020	0.6568419761720339	0.7571746276041088	0.07224528781646015
06/05/2020	0.6492330758849616	0.7571746276041088	0.07224528781646015
06/06/2020	0.6397750245619358	0.7571746276041088	0.07224528781646015
06/07/2020	0.6482538061810346	0.7571746276041088	0.07224528781646015
06/08/2020	0.6425315082511132	0.7571746276041088	0.07224528781646015
06/09/2020	1.0502842160261117	0.7179230942513666	0.08553137558248917
06/10/2020	1.0906097528150462	0.7179230942513666	0.08553137558248917
06/11/2020	1.062293019771969	0.7179230942513666	0.08553137558248917
