time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
77	40.39465901393297	60.25	67.05	105.57	0.00	0.09	Infinity	35.43	28.87	21.12	0.00	1.51	Infinity	4.50	0.09	98.02	0.00	4.67	Infinity	0.00	1.10	Infinity	34.11	40.62	61.91	7.00	3.04	56.63	14.00	14.61	4.36	0.00	10.97	Infinity
78	35.04794274812188	48.52	72.24	107.05	0.00	0.11	Infinity	41.10	31.57	26.47	0.00	1.65	Infinity	2.17	0.10	95.61	0.00	4.68	Infinity	0.00	1.04	Infinity	39.17	38.72	3.74	7.00	2.94	57.94	15.00	14.89	0.75	0.00	11.35	Infinity
79	30.104813266374954	43.15	69.77	108.83	0.00	0.12	Infinity	36.76	34.52	6.95	0.00	1.79	Infinity	2.32	0.10	95.62	0.00	4.70	Infinity	0.00	0.98	Infinity	36.53	36.84	2.80	6.00	2.85	52.49	18.00	15.16	15.75	0.00	11.75	Infinity
80	31.689906697259936	47.32	66.97	110.94	0.00	0.14	Infinity	34.44	37.72	10.89	0.00	1.95	Infinity	1.20	0.11	91.00	0.00	4.72	Infinity	0.00	0.92	Infinity	34.40	35.01	5.69	6.00	2.76	54.05	19.00	15.44	18.72	0.00	12.17	Infinity
81	31.81416645344978	39.34	80.86	113.43	0.00	0.16	Infinity	45.42	41.21	10.58	2.15	2.12	1.35	0.09	0.12	27.52	0.00	4.73	Infinity	0.00	0.86	Infinity	35.52	33.22	21.02	3.55	2.66	24.87	23.77	15.72	33.86	2.05	12.61	1453.40
82	29.9872221792032	36.74	81.62	116.29	0.00	0.19	Infinity	44.38	44.98	1.54	2.15	2.31	8.03	0.52	0.12	76.25	0.00	4.75	Infinity	0.00	0.81	Infinity	38.64	31.49	60.04	3.76	2.57	31.62	22.76	16.01	29.66	5.07	13.07	445.25
83	38.309772577077176	47.89	80.00	119.61	0.00	0.21	Infinity	62.38	49.10	34.55	3.21	2.51	34.74	0.53	0.13	75.05	0.00	4.76	Infinity	0.00	0.76	Infinity	33.73	29.82	36.20	3.76	2.48	34.11	22.64	16.29	28.04	6.88	13.54	367.13
84	35.602971195850756	43.61	81.64	123.41	0.00	0.24	Infinity	63.60	53.59	25.55	1.60	2.74	113.20	0.67	0.14	79.14	0.00	4.78	Infinity	0.00	0.70	Infinity	37.98	28.21	80.21	3.84	2.39	37.68	21.59	16.59	23.17	12.04	14.03	62.65
85	15.348616699396201	21.67	70.82	127.73	0.00	0.27	Infinity	60.65	58.48	5.79	1.60	2.98	137.39	0.00	0.15	Infinity	0.00	4.79	Infinity	0.00	0.66	Infinity	24.89	26.68	22.44	2.78	2.30	17.20	18.42	16.88	8.33	12.40	14.53	65.36
86	22.77931770260161	25.92	87.88	132.61	1.00	0.31	69.31	72.95	63.81	20.32	1.60	3.24	163.70	0.00	0.16	Infinity	5.46	4.81	22.00	0.00	0.61	Infinity	23.59	25.21	21.33	2.91	2.22	23.85	23.77	17.18	27.71	14.06	15.06	26.94
