MN_travel run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: true
randomize false
Iteration	Objective	Obj. change	I Error	CPU time (s)	 R error
1	4.16051359619855E7	92.49%	84.45%	216.4s74.37%
2	3.071986574073548E7	26.16%	78.92%	252.3s79.82%
3	2.6188558593834728E7	14.75%	73.83%	232.6s84.63%
4	2.0974430938493785E7	19.91%	69.43%	240.8s85.31%
5	1.8713015843640085E7	10.78%	65.23%	237.5s86.30%
6	1.7007500949304845E7	9.11%	62.41%	232.3s87.53%
7	1.6021858467053166E7	5.80%	60.21%	233.2s87.99%
8	1.5294445848473607E7	4.54%	58.63%	236.6s87.91%
9	1.4728096111779869E7	3.70%	57.35%	236.4s88.90%
10	1.4250923636708451E7	3.24%	57.31%	231.3s89.09%
11	1.386633312165547E7	2.70%	57.11%	231.5s89.76%
12	1.349868879129301E7	2.65%	56.16%	235.7s90.14%
13	1.316356888422414E7	2.48%	55.82%	235.8s90.44%
14	1.2902973416850384E7	1.98%	55.37%	236.1s91.77%
15	1.2622268181862328E7	2.18%	54.92%	232.1s91.97%
16	1.2356917823252296E7	2.10%	54.35%	236.6s92.96%
17	1.2064183161054995E7	2.37%	53.63%	241.7s93.14%
18	1.1899261887597144E7	1.37%	52.95%	242.0s93.89%
19	1.1696720978340533E7	1.70%	52.67%	249.3s94.00%
20	1.150752712842474E7	1.62%	51.91%	226.2s94.49%
21	1.1340253936509585E7	1.45%	51.23%	223.9s94.58%
22	1.121674770514692E7	1.09%	50.95%	227.8s95.02%
23	1.1091139254710058E7	1.12%	50.60%	227.3s95.18%
24	1.0948719934272757E7	1.28%	50.23%	226.9s95.57%
25	1.0843092780710192E7	0.96%	49.92%	231.2s95.41%
26	1.072805334971606E7	1.06%	49.66%	239.7s95.76%
27	1.0634712599670216E7	0.87%	49.31%	239.9s96.13%
28	1.0535479813600231E7	0.93%	49.05%	240.9s96.28%
29	1.0457607881134622E7	0.74%	48.86%	241.4s96.31%
30	1.0337513170158338E7	1.15%	48.59%	239.8s96.46%
31	1.0272427933687493E7	0.63%	48.36%	240.7s96.53%
32	1.0212592219461435E7	0.58%	48.20%	244.2s96.67%
33	1.0164245373641785E7	0.47%	47.87%	244.4s96.66%
34	1.0117603510742195E7	0.46%	47.79%	247.1s96.83%
35	1.0068685209627116E7	0.48%	47.58%	247.0s96.87%
36	1.0022235746696036E7	0.46%	47.37%	251.2s96.85%
37	9979213.594865987	0.43%	47.13%	249.4s96.77%
