time	total error	% error	count	predicted
80	0.0	0.00	636.44	1321.28
81	548.4809594944359	70.33	779.82	1746.13
82	861.241943221373	110.82	777.13	2070.26
83	812.2697210047983	107.86	753.08	2318.02
84	855.0672480293798	98.46	868.41	2508.03
85	1116.2026044297459	140.20	796.14	2654.67
86	922.2092797158416	91.65	1006.22	2769.15
87	967.353446930003	88.54	1092.50	2860.28
88	975.560913464267	81.74	1193.55	2935.08
89	1001.6245913070691	79.18	1264.97	2999.19
90	1017.1049910485525	77.70	1309.00	3057.22
91	1018.2203359166427	72.68	1401.00	3112.99
92	880.7791903670873	62.78	1403.00	3169.74
93	946.4147543078085	59.71	1585.00	3230.30
94	1126.2547213607286	63.02	1787.11	3297.18
95	1092.1811851413338	60.01	1820.05	3372.70
96	1184.0162589190027	60.11	1969.61	3459.09
97	1099.733258846717	48.58	2263.67	3535.36
98	946.1574979556931	36.47	2594.48	3603.78
99	1018.4563426578165	34.46	2955.48	3666.84
100	981.9829682779765	28.58	3436.45	3726.99
101	1292.8986405457376	33.69	3837.06	3786.61
102	1040.9339063573968	28.58	3642.56	3847.87
103	1750.6098688011143	56.42	3102.90	3912.79
104	1706.4728774879122	51.27	3328.57	3983.18
105	1592.9959968543817	43.28	3680.39	4060.71
106	1668.1961635002494	40.23	4146.64	4146.89
107	1835.4049067784485	40.88	4489.26	4243.13
108	2081.410051759923	44.96	4629.67	4350.72
109	2013.5875961689046	44.21	4554.71	4470.94
110	1910.741704037823	43.35	4407.47	4605.00
111	1805.6039065494213	40.68	4438.90	4754.11
112	1601.3586318110843	37.23	4301.74	4919.48
113	1451.2852930601118	32.87	4415.38	5102.36
114	1164.31751841118	24.10	4831.69	5304.07
115	1158.829859542116	24.18	4793.13	5525.99
116	1122.2729026780203	22.96	4887.11	5769.59
117	882.7477267256025	17.85	4944.39	6036.46
118	1032.031081469679	21.38	4826.53	6198.27
119	1128.0491224020395	23.74	4750.79	6277.51
120	1017.9820273234959	20.58	4947.41	6292.38
121	883.6386545405836	16.06	5502.94	6257.55
122	1095.826083970991	19.68	5568.48	6184.85
123	1379.325399283548	24.47	5636.12	6083.80
124	1640.4452185861703	28.87	5681.36	5962.03
125	1103.6108222149485	19.49	5661.08	5825.68
126	772.0648143155632	14.58	5296.69	5679.63
127	742.8968902791395	13.99	5309.59	5527.79
128	924.6348394843557	16.57	5581.57	5373.25
129	942.6197746602802	17.85	5281.21	5218.47
130	953.8647242097647	18.73	5093.53	5065.36
131	935.2844606807182	19.89	4701.97	4915.44
132	1010.922034706141	24.37	4147.63	4769.89
133	1091.5220632793196	29.23	3734.49	4629.62
134	975.9612179910243	26.29	3712.59	4495.32
135	795.3200535444278	20.24	3928.95	4367.52
136	567.0859988327659	14.09	4025.68	4246.63
137	754.3875773993092	20.58	3664.90	4132.96
138	926.5005482957442	27.49	3370.43	4026.74
139	609.2779891057329	19.56	3114.72	3928.14
140	588.3947200303002	19.77	2975.57	3837.30
141	649.55038552203	20.48	3171.66	3745.56
142	797.1000963646893	22.97	3470.73	3653.37
143	700.3530210470151	21.48	3260.65	3561.45
144	689.5890524556249	22.36	3083.87	3470.61
145	521.3235729095535	18.63	2797.85	3381.64
146	638.3197957895177	24.75	2578.98	3295.32
147	587.852659486885	23.04	2550.98	3212.34
148	452.1126415747361	16.52	2736.15	3133.34
149	599.5320548178473	20.51	2922.81	3058.86
150	502.9439572344501	17.68	2843.92	2989.39
151	596.378769492867	21.15	2819.96	2925.37
152	586.8172770701793	21.53	2725.49	2867.19
