MN_start80 run 0
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize true
Iteration	Objective	Obj. change	Error	CPU time (s)
1	7.242256730660738E7	88.55%	90.79%	0.9s
2	3.706351068690713E7	48.82%	63.42%	0.9s
3	2.554132749365466E7	31.09%	52.71%	1.0s
4	2.0140873827285584E7	21.14%	46.36%	1.0s
5	1.766472125290824E7	12.29%	42.84%	1.0s
6	1.6052618255705206E7	9.13%	40.57%	1.0s
7	1.5575008242969366E7	2.98%	39.58%	1.0s
8	1.5165081566116594E7	2.63%	38.68%	1.0s
9	1.4926834694380486E7	1.57%	38.10%	1.0s
10	1.470586396693831E7	1.48%	37.58%	1.1s
11	1.4517063725309689E7	1.28%	37.18%	1.1s
12	1.4326629268072851E7	1.31%	36.71%	1.1s
13	1.419336432574176E7	0.93%	36.34%	1.2s
14	1.4060403394939369E7	0.94%	36.04%	1.1s
15	1.3965802257808672E7	0.67%	35.78%	1.1s
16	1.3842373590126775E7	0.88%	35.51%	1.1s
17	1.3762129122068679E7	0.58%	35.27%	1.2s
18	1.366555982644113E7	0.70%	35.05%	1.2s
19	1.35981112735654E7	0.49%	34.90%	1.2s
20	1.351227879119851E7	0.63%	34.69%	1.2s
21	1.3426335569282783E7	0.64%	34.52%	1.2s
22	1.3326634534216631E7	0.74%	34.29%	1.2s
23	1.3289508785106035E7	0.28%	34.17%	1.2s
24	1.3251049205683667E7	0.29%	34.08%	1.2s
25	1.3206617048606759E7	0.34%	33.93%	1.2s
26	1.3176880938779613E7	0.23%	33.80%	1.3s
27	1.312950476981141E7	0.36%	33.61%	1.3s
28	1.310626692645871E7	0.18%	33.53%	1.2s
29	1.3070423688064495E7	0.27%	33.43%	1.3s
30	1.304966232372342E7	0.16%	33.36%	1.2s
31	1.3018419951509098E7	0.24%	33.30%	1.3s
32	1.299505780284065E7	0.18%	33.25%	1.2s
33	1.2964628668423355E7	0.23%	33.15%	1.2s
34	1.2949730513570609E7	0.11%	33.09%	1.3s
35	1.2920049216828624E7	0.23%	33.02%	1.3s
36	1.2901718955315284E7	0.14%	32.96%	1.3s
37	1.2876042299286641E7	0.20%	32.90%	1.3s
38	1.2857923824770594E7	0.14%	32.85%	1.3s
39	1.2828625939083021E7	0.23%	32.78%	1.3s
40	1.2813192827716105E7	0.12%	32.74%	1.3s
41	1.2779334892536877E7	0.26%	32.64%	1.3s
42	1.276303060231578E7	0.13%	32.59%	1.3s
43	1.2735921632337693E7	0.21%	32.52%	1.3s
44	1.2724436441478226E7	0.09%	32.48%	1.3s
45	1.2695517238957288E7	0.23%	32.41%	1.3s
46	1.2679864315899288E7	0.12%	32.36%	1.4s
47	1.2651342523156514E7	0.22%	32.30%	1.4s
48	1.264040279291556E7	0.09%	32.27%	1.3s
49	1.261784954809321E7	0.18%	32.22%	1.3s
50	1.2599437161869593E7	0.15%	32.16%	1.3s
51	1.2579501457725836E7	0.16%	32.11%	1.3s
52	1.2564575261120467E7	0.12%	32.07%	1.3s
53	1.2548274071109569E7	0.13%	32.04%	1.3s
54	1.2531442403457614E7	0.13%	32.00%	1.3s
55	1.2517628006287832E7	0.11%	31.97%	1.3s
56	1.2500373872636398E7	0.14%	31.93%	1.3s
57	1.2485727863874001E7	0.12%	31.89%	1.3s
58	1.2472941410632906E7	0.10%	31.86%	1.3s
59	1.2443163348754609E7	0.24%	31.81%	1.3s
60	1.2418969928405512E7	0.19%	31.74%	1.3s
61	1.2404828303276638E7	0.11%	31.71%	1.3s
