time	total error	% error	count	predicted	reported*lambda	long time
03/22/2020	0.0	0.0	166.0	369.46964505898075	369.46964505898075	1584856800000
03/23/2020	141.1403608104912	60.83636241831517	232.0	425.27991374911124	495.0198735956454	1584943200000
03/24/2020	143.81042137793182	55.31170052997378	260.0	459.5938489796754	381.9962541397233	1585029600000
03/25/2020	210.00373354013695	105.15960617933747	199.70000000000002	478.9246958765779	290.2388227320702	1585116000000
03/26/2020	162.3979085422677	47.48476857961043	342.0	488.03766140320596	516.3495733467386	1585202400000
03/27/2020	175.067947538073	67.54425230065705	259.19	490.51283823603586	393.2268538469171	1585288800000
03/28/2020	227.3490787844869	96.3034240631555	236.07580000000002	497.55062070297726	360.48211977246785	1585375200000
03/29/2020	218.00654638084077	80.43990687730987	271.0179	507.3899224081151	412.17529695411224	1585461600000
03/30/2020	400.23698488102406	70.58853348871676	567.0	519.1399324878097	846.9781749122349	1585548000000
03/31/2020	240.94541355332896	38.862163476343376	620.0	532.4100974062334	670.5598239931069	1585634400000
04/01/2020	258.1535123645627	37.963751818318045	680.0	547.0952422415131	733.4265256513322	1585720800000
04/02/2020	279.42526704893163	38.172850689744756	732.0	563.2521479815567	786.5816635252162	1585807200000
04/03/2020	303.1607222059503	39.016823964729774	777.0	581.0302217474431	834.4240148272653	1585893600000
04/04/2020	269.9461300977526	61.2330228126398	440.85056999999995	600.6342421680727	473.1965861090472	1585980000000
04/05/2020	273.87450838006663	56.04652789628543	488.6556200000001	622.3061893722913	523.6895362090828	1586066400000
04/06/2020	295.85873581017256	57.25158731994269	516.76949	646.3185215296181	551.2614634279017	1586152800000
04/07/2020	317.0513510005069	60.97851976229085	519.939402	672.9744563644525	617.9465600578575	1586239200000
04/08/2020	288.6970577726983	54.995163771389734	524.9499010000001	702.6127391925378	613.7415154117765	1586325600000
04/09/2020	289.7722251679354	50.85091941201708	569.8465799999999	735.61554693911	669.4623000059157	1586412000000
04/10/2020	265.1034662164737	43.70857518164479	606.52507	772.4188972508292	730.6328300331871	1586498400000
04/11/2020	230.97081130257362	36.29129549061435	636.4358400000002	813.5253864328668	766.1906586512221	1586584800000
04/12/2020	362.58017353641856	46.49528743807122	779.8213399999999	859.5193794777142	943.9265741012252	1586671200000
04/13/2020	349.6283636243793	44.98943089239514	777.1344440000001	911.084985894485	948.4181694180011	1586757600000
04/14/2020	377.03071471022565	50.06490441983788	753.0838599999998	969.0273154690792	863.1449214319279	1586844000000
04/15/2020	338.54951293338235	38.98516511094837	868.4060000000001	1034.2976403832663	980.8296841564238	1586930400000
04/16/2020	371.7900986603656	46.699325327551854	796.1359100000002	1108.0232042561586	885.0208117974829	1587016800000
04/17/2020	403.41926733944763	40.092531940857306	1006.2204799999997	1191.5425149445532	1146.0188045754403	1587103200000
04/18/2020	428.9868301225004	39.26652440055089	1092.5001300000004	1286.4470270816196	1270.4339674726075	1587189600000
04/19/2020	458.0396260849122	38.37634942820669	1193.546632	1394.6301417648222	1433.4747394026	1587276000000
04/20/2020	494.32004606935396	39.07758211367515	1264.9709100000007	1518.344389126088	1556.545399620686	1587362400000
04/21/2020	542.4623198206948	41.440980584831195	1308.9997200000003	1660.2674592653261	1607.8180470869347	1587448800000
04/22/2020	560.2129176165988	39.98651179537773	1401.0047200000001	1823.5773258512086	1735.15638222852	1587535200000
04/23/2020	478.61778603225883	34.11387789651191	1403.000232	2012.0359477303289	1760.7183003283108	1587621600000
04/24/2020	510.93370592488344	32.235536996645315	1585.001379	2230.0797794395944	2053.355113679243	1587708000000
04/25/2020	599.1691117749679	33.52726084625689	1787.1102400000013	2482.9133726844575	2362.2227792446593	1587794400000
04/26/2020	581.7781029649911	31.964956434714605	1820.0497289999996	2776.5994822737234	2426.573657735047	1587880800000
04/27/2020	684.9923464491728	34.778007590726304	1969.6135399999991	3118.1350959434467	2692.6369042136857	1587967200000
04/28/2020	1210.0090501084157	53.453333643172535	2263.673690000001	3367.117625171195	2515.074194614083	1588053600000
04/29/2020	955.5479880690573	36.83000463094515	2594.4824000000012	3549.822835564231	2904.794522428027	1588140000000
04/30/2020	739.571854286539	25.023724442014895	2955.4827299999997	3686.220614867221	3331.4313862233466	1588226400000
05/01/2020	474.9192299999965	13.820065608461196	3436.447	3791.5116844887298	3908.995093361176	1588312800000
05/02/2020	612.5646655805864	15.964411579457726	3837.0638499999995	3877.290311983907	4413.812329787814	1588399200000
05/03/2020	493.2434971691319	13.54113105921084	3642.55759	3952.4244615716366	4216.231536197354	1588485600000
05/04/2020	1378.9091931660225	44.43941823939488	3102.8965900000017	4023.723393211711	3676.5784804989667	1588572000000
05/05/2020	915.3766239478364	27.500596575931358	3328.57006	4096.4456334821425	3727.621585435674	1588658400000
05/06/2020	821.0203402623547	22.30795104970886	3680.39332	4174.687048113133	4143.748396379368	1588744800000
05/07/2020	1005.0793307036231	24.238378948069567	4146.644182999999	4261.6787518287865	4676.811965412161	1588831200000
05/08/2020	1156.70481255313	25.76607057468955	4489.25578	4360.017106390986	5067.235094666058	1588917600000
05/09/2020	1213.15983717918	26.20402913460021	4629.6690899999985	4471.842489399025	5224.500773245112	1589004000000
05/10/2020	1123.9812859446001	24.677332163510236	4554.711500000002	4598.979388288456	5165.157435098373	1589090400000
05/11/2020	972.0607240256405	22.054865852446333	4407.466046400002	4743.04731807213	5060.248676099811	1589176800000
05/12/2020	1030.9856362440212	23.2261395670755	4438.902269	4905.549799776985	5152.662361194226	1589263200000
05/13/2020	800.4426625919085	18.607403498484956	4301.742919999998	5087.946962472693	4897.374068446927	1589349600000
