MN run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: false
randomize false
model2 false
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
104	5260139.640805	0.10%	21.21%	53.81%	3.6s
105	5255059.688562759	0.10%	21.17%	53.89%	3.6s
106	5251153.146755203	0.07%	21.17%	53.86%	3.7s
107	5247763.4235033095	0.06%	21.14%	53.95%	3.7s
108	5243888.864839319	0.07%	21.15%	53.82%	3.7s
109	5240630.233030592	0.06%	21.12%	53.90%	3.6s
110	5237385.37837975	0.06%	21.12%	53.77%	3.7s
111	5233432.7875274	0.08%	21.09%	53.91%	3.7s
112	5229909.428128707	0.07%	21.09%	53.69%	3.7s
113	5224863.927476441	0.10%	21.07%	53.63%	3.7s
114	5221962.570105637	0.06%	21.07%	53.59%	3.7s
115	5219691.8320046365	0.04%	21.05%	53.32%	3.8s
116	5208703.159757517	0.21%	21.01%	53.25%	3.7s
117	5205793.681592363	0.06%	21.00%	53.23%	3.7s
118	5199706.181642114	0.12%	20.98%	53.22%	3.7s
119	5196366.125972321	0.06%	20.96%	53.28%	3.6s
120	5193894.725416854	0.05%	20.95%	53.25%	3.7s
121	5190122.059951694	0.07%	20.93%	53.33%	3.7s
122	5186928.11247413	0.06%	20.92%	53.28%	3.7s
123	5183689.668246398	0.06%	20.91%	53.27%	3.7s
124	5180984.091814859	0.05%	20.89%	53.26%	3.7s
125	5176645.730779339	0.08%	20.87%	53.34%	3.7s
126	5173799.667000282	0.05%	20.85%	53.30%	3.8s
127	5170867.505758987	0.06%	20.85%	53.40%	3.7s
128	5166223.5501466915	0.09%	20.84%	53.31%	3.7s
129	5163485.398453488	0.05%	20.82%	53.28%	3.7s
130	5161393.388650993	0.04%	20.81%	53.25%	3.8s
131	5159524.305255913	0.04%	20.80%	53.21%	3.8s
132	5157890.637952669	0.03%	20.79%	53.20%	3.9s
133	5154972.922569359	0.06%	20.77%	53.18%	3.8s
134	5153001.984824134	0.04%	20.77%	53.14%	3.9s
135	5151072.78242465	0.04%	20.75%	53.14%	3.8s
136	5149113.520039898	0.04%	20.74%	53.14%	3.8s
137	5147410.4163514385	0.03%	20.74%	53.16%	3.8s
138	5145831.1603042735	0.03%	20.73%	53.16%	3.8s
139	5143099.197804691	0.05%	20.72%	53.15%	3.7s
140	5140495.366447744	0.05%	20.71%	53.12%	3.7s
141	5138342.952997963	0.04%	20.70%	53.17%	3.7s
142	5136253.812612403	0.04%	20.70%	53.15%	3.8s
143	5134557.9569044085	0.03%	20.68%	53.18%	3.8s
144	5132122.80347664	0.05%	20.68%	53.09%	3.9s
145	5130208.855333711	0.04%	20.67%	53.15%	3.8s
146	5128621.326975941	0.03%	20.66%	53.15%	3.8s
147	5125232.686180902	0.07%	20.65%	53.15%	3.8s
148	5123654.608332593	0.03%	20.64%	53.19%	3.9s
149	5121789.501160046	0.04%	20.64%	53.20%	3.9s
150	5120158.716231414	0.03%	20.63%	53.15%	3.8s
151	5118306.14212612	0.04%	20.63%	53.17%	3.9s
152	5114345.81421266	0.08%	20.62%	53.10%	3.9s
153	5111269.2785905255	0.06%	20.62%	53.24%	3.9s
154	5109664.147678506	0.03%	20.62%	53.24%	3.8s
155	5107526.303253872	0.04%	20.61%	53.26%	3.9s
156	5105672.969092382	0.04%	20.60%	53.23%	3.9s
157	5104113.826684433	0.03%	20.59%	53.26%	3.9s
158	5102485.237961172	0.03%	20.58%	53.24%	3.9s
159	5100236.263772146	0.04%	20.57%	53.23%	3.9s
160	5098949.361631344	0.03%	20.56%	53.20%	3.9s
161	5097446.124611573	0.03%	20.56%	53.19%	3.9s
162	5096393.432685299	0.02%	20.55%	53.16%	4.0s
163	5095387.866311375	0.02%	20.55%	53.14%	3.9s
164	5094133.187045673	0.02%	20.54%	53.14%	3.9s
165	5092702.739109389	0.03%	20.54%	53.05%	3.9s
166	5091071.507923326	0.03%	20.53%	52.93%	3.9s
167	5089827.799421237	0.02%	20.51%	52.98%	3.9s
