time	avg r	avg lambda
03/22/2020	0.3334515607214531	2.0504642213074664
03/23/2020	0.3334515607214531	2.0504642213074664
03/24/2020	0.3334515607214531	1.6062576977892247
03/25/2020	0.3334515607214531	1.6062576977892247
03/26/2020	1.9208243963096625	1.6062576977892247
03/27/2020	1.9208243963096625	1.6062576977892247
03/28/2020	1.9208243963096625	1.6062576977892247
03/29/2020	1.9208243963096625	1.6062576977892247
03/30/2020	1.9208243963096625	1.6062576977892247
03/31/2020	1.9208243963096625	1.2024997526573935
04/01/2020	1.9208243963096625	1.2024997526573935
04/02/2020	1.9208243963096625	1.2024997526573935
04/03/2020	1.9208243963096625	1.2024997526573935
04/04/2020	1.9208243963096625	1.2024997526573935
04/05/2020	1.9208243963096625	1.2024997526573935
04/06/2020	1.9208243963096625	1.2024997526573935
04/07/2020	1.9208243963096625	1.383693374513305
04/08/2020	1.9208243963096625	1.383693374513305
04/09/2020	1.9208243963096625	1.383693374513305
04/10/2020	1.9208243963096625	1.383693374513305
04/11/2020	1.9208243963096625	1.383693374513305
04/12/2020	1.9208243963096625	1.383693374513305
04/13/2020	1.9208243963096625	1.383693374513305
04/14/2020	1.9208243963096625	1.4363094113971389
04/15/2020	1.9208243963096625	1.4363094113971389
04/16/2020	1.9208243963096625	1.4363094113971389
04/17/2020	1.9208243963096625	1.4363094113971389
04/18/2020	1.9208243963096625	1.4363094113971389
04/19/2020	1.9208243963096625	1.4363094113971389
04/20/2020	1.9208243963096625	1.4363094113971389
04/21/2020	1.9208243963096625	1.5367734144795957
04/22/2020	1.9208243963096625	1.5367734144795957
04/23/2020	1.9208243963096625	1.5367734144795957
04/24/2020	1.9208243963096625	1.5367734144795957
04/25/2020	1.9208243963096625	1.5367734144795957
04/26/2020	1.742260158389686	1.5367734144795957
04/27/2020	1.742260158389686	1.5367734144795957
04/28/2020	1.742260158389686	1.3068157796881688
04/29/2020	1.742260158389686	1.3068157796881688
04/30/2020	1.742260158389686	1.3068157796881688
05/01/2020	1.742260158389686	1.3068157796881688
05/02/2020	1.742260158389686	1.3068157796881688
05/03/2020	1.742260158389686	1.3068157796881688
05/04/2020	1.742260158389686	1.3068157796881688
05/05/2020	1.742260158389686	1.3802027911197308
05/06/2020	1.742260158389686	1.3802027911197308
05/07/2020	1.742260158389686	1.3802027911197308
05/08/2020	1.742260158389686	1.3802027911197308
05/09/2020	1.742260158389686	1.3802027911197308
05/10/2020	1.742260158389686	1.3802027911197308
05/11/2020	1.742260158389686	1.3802027911197308
05/12/2020	1.742260158389686	1.3094884566422644
05/13/2020	1.742260158389686	1.3094884566422644
05/14/2020	1.742260158389686	1.3094884566422644
05/15/2020	1.742260158389686	1.3094884566422644
05/16/2020	1.742260158389686	1.3094884566422644
05/17/2020	0.7039765986294526	1.3094884566422644
05/18/2020	0.7039765986294526	1.3094884566422644
05/19/2020	0.7039765986294526	1.2506537761232286
05/20/2020	0.7039765986294526	1.2506537761232286
05/21/2020	0.7039765986294526	1.2506537761232286
05/22/2020	0.7039765986294526	1.2506537761232286
05/23/2020	0.7039765986294526	1.2506537761232286
05/24/2020	0.7039765986294526	1.2506537761232286
05/25/2020	0.7039765986294526	1.2506537761232286
05/26/2020	0.7039765986294526	1.1928880240781916
05/27/2020	0.7039765986294526	1.1928880240781916
05/28/2020	0.7039765986294526	1.1928880240781916
05/29/2020	0.7039765986294526	1.1928880240781916
05/30/2020	0.7039765986294526	1.1928880240781916
05/31/2020	0.7039765986294526	1.1928880240781916
06/01/2020	0.7039765986294526	1.1928880240781916
06/02/2020	0.7039765986294526	1.3038337290636937
06/03/2020	0.7039765986294526	1.3038337290636937
06/04/2020	0.7039765986294526	1.3038337290636937
06/05/2020	0.7039765986294526	1.3038337290636937
06/06/2020	0.7039765986294526	1.3038337290636937
06/07/2020	0.7039765986294526	1.3038337290636937
06/08/2020	0.7039765986294526	1.3038337290636937
06/09/2020	0.5462089555073331	1.4402095854840755
06/10/2020	0.5462089555073331	1.4402095854840755
06/11/2020	0.5462089555073331	1.4402095854840755
06/12/2020	0.5462089555073331	1.4402095854840755
06/13/2020	0.5462089555073331	1.4402095854840755
06/14/2020	0.5462089555073331	1.4402095854840755
06/15/2020	0.5462089555073331	1.4402095854840755
06/16/2020	0.5462089555073331	1.3157154814159986
06/17/2020	0.5462089555073331	1.3157154814159986
06/18/2020	0.5462089555073331	1.3157154814159986
06/19/2020	0.5462089555073331	1.3157154814159986
06/20/2020	0.5462089555073331	1.3157154814159986
06/21/2020	0.5462089555073331	1.3157154814159986
06/22/2020	0.5462089555073331	1.3157154814159986
