time	total error	% error	count	predicted	reported*lambda	long time	total error	% error	count R	predicted R	 reported R*lambda
03/22/2020	0.0	0.0	166.0	369.77304591294154	369.77304591294154	1584856800000	2.017848383703264	201.7848383703264	1.0	0.0	2.017848383703264
03/23/2020	139.1911684883989	59.99619331396504	232.0	432.2652515515568	495.91261057255525	1584943200000	28.79657210904187	2879.6572109041867	1.0	30.81442049274513	2.017848383703264
03/24/2020	136.7774608791321	52.60671572274311	260.0	476.45984222141647	377.670084830623	1585029600000	64.82950004869299	6482.950004869299	1.0	66.8365247887082	2.0070247400152037
03/25/2020	246.82816461467095	123.59948152962991	199.70000000000002	506.412023862139	274.4358170070932	1585116000000	218.3723219908703	178.99370654989372	121.99999999999999	106.5415116404929	215.28166745344993
03/26/2020	146.20877642534066	42.75110421793586	342.0	525.3235305325281	516.3217558829605	1585202400000	144.72846414897404	7236.423207448702	2.0	148.7425136290045	4.014049480030407
03/27/2020	210.83724488345715	81.34466795920257	259.19	535.7329660752637	391.8478522530503	1585288800000	259.22217768161295	145.62961875585697	178.001	192.51947450671503	282.3716614074157
03/28/2020	255.42193991296978	108.19488482638617	236.07580000000002	548.4430458234663	366.73704035431956	1585375200000	255.8903895357044	116.31370768558592	220.0002	237.1638883463204	321.30890703932323
03/29/2020	244.6328891381544	90.26447667779672	271.0179	562.7722936514159	420.9662287775247	1585461600000	293.2423126809118	118.24320176746946	247.99929999999995	282.86747549827584	366.9668964610087
03/30/2020	380.7946839498383	67.15955625217606	567.0	578.4088485923095	853.3177045612582	1585548000000	318.75111715586337	3541.679079509593	9.0	329.76516663589376	11.014049480030408
03/31/2020	269.4663396856909	43.46231285253079	620.0	595.273086071064	718.5267732175943	1585634400000	368.36344505762565	4092.9271673069516	9.0	377.96590401858646	9.602458960960849
04/01/2020	283.89633457904085	41.74946096750601	680.0	613.4309892529847	787.368200452857	1585720800000	417.9695355635475	4644.105950706083	9.0	427.57199452450834	9.602458960960849
04/02/2020	306.23047740610286	41.83476467296487	732.0	633.0403582795288	845.0817244604792	1585807200000	468.08878466796284	4680.887846679629	10.0	478.69124362892376	10.602458960960849
04/03/2020	329.6398578274057	42.42469212707925	777.0	654.3183144391093	895.3195133883618	1585893600000	519.6192286736193	4723.811169760175	11.0	531.4446068188845	11.825378145265198
04/04/2020	254.2273192489166	57.66745844264568	440.85056999999995	677.5226505989033	517.7565080428558	1585980000000	288.38690579457733	66.29617570355006	434.99780000000004	585.9711330221435	513.5382114480288
04/05/2020	243.74225566679306	49.8801703471236	488.6556200000001	702.9422249500134	575.3549551943379	1586066400000	290.3958504080761	64.81993804252066	448.0038999999998	642.4313539053854	524.309365201815
04/06/2020	276.3131698412954	53.46932727032616	516.76949	730.8933133758659	613.2102608529223	1586152800000	289.8636064642785	61.67287156438092	470.00180000000006	701.0098726512203	548.7235407433556
04/07/2020	313.70319015454373	60.3345676338151	519.939402	761.7199572347639	646.5399094178163	1586239200000	518.8688422315679	94.5111640127759	549.0026999999999	761.9176487658757	842.0487059431548
04/08/2020	298.8888594081843	56.93664459004904	524.9499010000001	795.7970792559197	643.490443249069	1586325600000	550.5317785532981	87.11000996102796	631.9959999999998	825.3943118687725	954.2408714072686
04/09/2020	297.8743554564916	52.2727284695631	569.8465799999999	833.5356263049114	701.4081740516767	1586412000000	573.1540944909532	84.9114912717201	675.0017999999997	891.7107351400988	1008.3438126453063
04/10/2020	287.6065984202801	47.418748646330485	606.52507	875.3893217051235	765.1302287060895	1586498400000	562.1782484308571	76.80063241126527	731.9969000000001	961.1720373321754	1067.7692159847172
04/11/2020	284.0303700979625	44.62828022035377	636.4358400000002	921.8628286189614	796.1080224217267	1586584800000	595.4790678249384	75.18660858911738	792.0014999999999	1034.1211474742681	1154.8809780959316
04/12/2020	383.20899926920816	49.14061460144297	779.8213399999999	973.5212769279182	973.7779865093491	1586671200000	594.6652132368971	70.62549838151578	841.9979000000003	1110.9430498591819	1217.765843495335
04/13/2020	369.40395326373454	47.53411151902752	777.1344440000001	1031.0012135105333	975.7441180698287	1586757600000	565.0496892126499	67.10806300912576	841.9997000000001	1192.069822936508	1209.8644954367462
04/14/2020	409.99006367213934	54.441488584304466	753.0838599999998	1095.0231158297388	936.8426226673832	1586844000000	686.1853597798689	75.48797158765181	908.9996000000003	1277.986590729053	1352.7896753972177
04/15/2020	420.52529491665456	48.42496423523726	868.4060000000001	1166.4056718054117	1061.6944299633153	1586930400000	714.9100684998473	76.05440824246766	939.9981999999995	1369.2385170481978	1390.4926151685288
04/16/2020	420.82223270959474	52.858089608041254	796.1359100000002	1246.0820818597147	957.0364298909219	1587016800000	740.9677065979355	73.14565767307063	1013.0029999999997	1466.4389896986486	1496.473196934771
04/17/2020	490.69345283352385	48.7659973720197	1006.2204799999997	1335.1186860318865	1212.1538044654685	1587103200000	777.4420538315293	72.93067165773493	1066.0015	1570.2791631869572	1555.449206889681
04/18/2020	531.46425443506	48.646607889653964	1092.5001300000004	1434.7362625879578	1334.0421406878916	1587189600000	810.8935060329563	72.53071856012862	1118.0000999999997	1681.5390536896152	1620.1139647119428
04/19/2020	539.1097317024166	45.16871961668077	1193.546632	1546.3343856153115	1486.2379182771936	1587276000000	813.572723859835	70.1355778292381	1160.0000299999997	1801.10040890528	1655.7318564980358
04/20/2020	540.1428039801634	42.70001781939501	1264.9709100000007	1671.51926751717	1602.6698325359844	1587362400000	842.4248788539192	70.08513677116673	1202.0021899999997	1929.9616077065548	1692.2423576518354
