MN_12 run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: false
randomize false
model2 false
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
104	6363681.608301484	0.04%	22.83%	65.55%	4.2s
105	6360449.3662775215	0.05%	22.82%	65.54%	4.1s
106	6357918.537711392	0.04%	22.80%	65.57%	4.1s
107	6355224.16521195	0.04%	22.80%	65.54%	4.1s
108	6353027.012731738	0.03%	22.78%	65.53%	4.1s
109	6348736.71005787	0.07%	22.77%	65.53%	4.1s
110	6346442.852324416	0.04%	22.75%	65.60%	4.0s
111	6343859.870066857	0.04%	22.74%	65.56%	4.0s
112	6341402.629988642	0.04%	22.73%	65.54%	4.1s
113	6338903.222212278	0.04%	22.71%	65.55%	4.2s
114	6336970.788135423	0.03%	22.70%	65.57%	4.1s
115	6334927.121768963	0.03%	22.69%	65.56%	4.1s
116	6330803.074681375	0.07%	22.69%	65.54%	4.2s
117	6327672.181683212	0.05%	22.67%	65.60%	4.1s
118	6325624.199509436	0.03%	22.67%	65.59%	4.2s
119	6323507.538851239	0.03%	22.66%	65.57%	4.2s
120	6321751.038431096	0.03%	22.65%	65.63%	4.2s
121	6319002.0610677805	0.04%	22.64%	65.53%	4.2s
122	6317236.550633631	0.03%	22.65%	65.61%	4.1s
123	6313491.584707943	0.06%	22.61%	65.76%	4.2s
124	6310859.410481126	0.04%	22.61%	65.77%	4.2s
125	6308702.0839522425	0.03%	22.60%	65.77%	4.2s
126	6306665.096357051	0.03%	22.60%	65.79%	4.1s
127	6305010.977125927	0.03%	22.59%	65.79%	4.2s
128	6303494.641592066	0.02%	22.58%	65.79%	4.3s
129	6301890.256929573	0.03%	22.57%	65.78%	4.2s
130	6300255.686513485	0.03%	22.57%	65.77%	4.3s
131	6298663.096996007	0.03%	22.56%	65.77%	4.2s
132	6297220.016222253	0.02%	22.55%	65.78%	4.3s
133	6295757.114065474	0.02%	22.55%	65.77%	4.3s
134	6294221.012233711	0.02%	22.54%	65.78%	4.3s
135	6292734.388512868	0.02%	22.53%	65.78%	4.3s
136	6291165.8902092725	0.02%	22.53%	65.77%	4.2s
137	6289785.473252424	0.02%	22.51%	65.76%	4.3s
138	6288618.833074411	0.02%	22.51%	65.76%	4.3s
139	6287125.396398443	0.02%	22.51%	65.78%	4.2s
140	6285772.595726582	0.02%	22.50%	65.83%	4.3s
141	6284582.739233622	0.02%	22.49%	65.81%	4.3s
142	6282857.271637409	0.03%	22.48%	65.82%	4.3s
143	6281484.69868576	0.02%	22.48%	65.82%	4.3s
144	6279560.684521972	0.03%	22.47%	65.81%	4.2s
145	6278336.603748851	0.02%	22.46%	65.82%	4.3s
146	6276589.531430939	0.03%	22.45%	65.85%	4.3s
147	6275279.756080375	0.02%	22.45%	65.83%	4.3s
148	6270672.308167524	0.07%	22.44%	65.80%	4.3s
149	6268703.987731233	0.03%	22.42%	65.79%	4.2s
150	6266649.91762155	0.03%	22.42%	65.78%	4.4s
151	6265496.440859015	0.02%	22.40%	65.74%	4.3s
152	6263732.940049745	0.03%	22.40%	65.75%	4.3s
153	6262467.061494726	0.02%	22.39%	65.72%	4.3s
154	6259857.492587638	0.04%	22.37%	65.58%	4.2s
155	6258921.602850364	0.01%	22.37%	65.56%	4.3s
156	6257520.166875263	0.02%	22.37%	65.52%	4.3s
157	6256516.090417172	0.02%	22.36%	65.50%	4.4s
158	6255140.845194892	0.02%	22.36%	65.47%	4.3s
159	6254140.764668302	0.02%	22.36%	65.45%	4.4s
160	6253022.39644927	0.02%	22.35%	65.41%	4.4s
161	6252091.564132046	0.01%	22.34%	65.41%	4.3s
162	6251074.515750949	0.02%	22.34%	65.37%	4.3s
163	6250226.270391659	0.01%	22.33%	65.37%	4.4s
164	6249213.462341133	0.02%	22.32%	65.34%	4.4s
165	6248520.3696549805	0.01%	22.32%	65.32%	4.3s
166	6247474.238498091	0.02%	22.31%	65.33%	4.4s
