Iteration	Objective	Obj. change	Error	CPU time (s)
1	8.112875378204046E7	42.29%	81.33%	1.0
2	2.893811471226417E7	64.33%	52.28%	1.1
3	1.730328286419835E7	40.21%	42.99%	1.2
4	1.4534908456018738E7	16.00%	39.56%	1.2
5	1.370134387419662E7	5.73%	38.22%	1.3
6	1.2768971969406024E7	6.80%	36.27%	1.2
7	1.2457884749881277E7	2.44%	35.77%	1.3
8	1.1774229263094703E7	5.49%	34.72%	1.3
9	1.1348939063661005E7	3.61%	33.85%	1.3
10	1.1197872195581846E7	1.33%	33.56%	1.3
11	1.1035435974485593E7	1.45%	33.17%	1.3
12	1.0775149433993123E7	2.36%	32.42%	1.3
13	1.0589433876869911E7	1.72%	32.07%	1.4
14	1.0524968809090931E7	0.61%	31.77%	1.3
15	1.0413330919984274E7	1.06%	31.40%	1.5
16	1.0391161143036015E7	0.21%	31.37%	1.4
17	1.0369012157966198E7	0.21%	31.21%	1.4
18	1.0324349841346668E7	0.43%	31.01%	1.4
19	1.0310080928691301E7	0.14%	30.91%	1.4
20	1.0289743636640739E7	0.20%	30.78%	1.4
21	1.0268159003912257E7	0.21%	30.67%	1.5
22	1.0250554530049462E7	0.17%	30.55%	1.4
23	1.0239591868376482E7	0.11%	30.49%	1.4
24	1.0228143976044541E7	0.11%	30.42%	1.4
25	1.019912950413026E7	0.28%	30.32%	1.5
26	1.01911011591347E7	0.08%	30.27%	1.5
27	1.0182982900671063E7	0.08%	30.22%	1.5
28	1.017233369184936E7	0.10%	30.17%	1.5
29	1.0165011554131486E7	0.07%	30.14%	1.5
30	1.0157624685795104E7	0.07%	30.08%	1.5
31	1.0149261060460351E7	0.08%	30.08%	1.5
32	1.0137274245460378E7	0.12%	30.02%	1.5
33	1.013089956444181E7	0.06%	29.98%	1.4
34	1.0120251415089862E7	0.11%	29.93%	1.5
35	1.0111711841864709E7	0.08%	29.92%	1.5
36	1.0107252464048283E7	0.04%	29.87%	1.5
37	1.0102199256038658E7	0.05%	29.85%	1.5
38	1.0098046371423803E7	0.04%	29.82%	1.5
39	1.0088713757686095E7	0.09%	29.80%	1.5
40	1.0085140542761784E7	0.04%	29.78%	1.5
41	1.0081949316156123E7	0.03%	29.76%	1.5
42	1.007875952972287E7	0.03%	29.75%	1.5
43	1.007314198894768E7	0.06%	29.71%	1.5
44	1.0068124579645092E7	0.05%	29.70%	1.4
45	1.0064108647804251E7	0.04%	29.69%	1.4
46	1.0059889189593557E7	0.04%	29.66%	1.5
47	1.0056953611145632E7	0.03%	29.66%	1.5
48	1.0054269865564503E7	0.03%	29.64%	1.5
49	1.0050576390110618E7	0.04%	29.62%	1.5
50	1.0046665692618128E7	0.04%	29.61%	1.6
51	1.0043635531040024E7	0.03%	29.60%	1.5
52	1.0041154143597249E7	0.02%	29.58%	1.5
53	1.0038582420214925E7	0.03%	29.57%	1.5
54	1.0035946899553979E7	0.03%	29.56%	1.5
55	1.0033577338196838E7	0.02%	29.55%	1.5
56	1.0028829015662896E7	0.05%	29.53%	1.5
57	1.0025494056253158E7	0.03%	29.51%	1.5
58	1.0023142115783358E7	0.02%	29.50%	1.5
59	1.0020695108027453E7	0.02%	29.49%	1.5
60	1.001856631377878E7	0.02%	29.48%	1.6
61	1.0015406556118693E7	0.03%	29.46%	1.6
62	1.0013122146156253E7	0.02%	29.46%	1.6
63	1.0011084905825222E7	0.02%	29.45%	1.6
64	1.0008416399559498E7	0.03%	29.43%	1.6
65	1.000627037151958E7	0.02%	29.42%	1.6
66	1.0004229583225496E7	0.02%	29.42%	1.5
67	1.0001879296949066E7	0.02%	29.40%	1.6
68	9999464.712826228	0.02%	29.40%	1.6
69	9997595.876857659	0.02%	29.40%	1.5
70	9995381.34697157	0.02%	29.39%	1.5
71	9993101.08837692	0.02%	29.38%	1.5
72	9991259.413053762	0.02%	29.37%	1.5
73	9989228.736371847	0.02%	29.36%	1.6
74	9986848.829176066	0.02%	29.35%	1.5
75	9984331.128862267	0.03%	29.35%	1.6
76	9982444.566329854	0.02%	29.34%	1.5
77	9980668.57312433	0.02%	29.34%	1.5
78	9978868.814147983	0.02%	29.33%	1.5
79	9976185.047170768	0.03%	29.33%	1.5
80	9973817.340673577	0.02%	29.32%	1.5
81	9971902.846466012	0.02%	29.29%	1.5
82	9970011.417099863	0.02%	29.29%	1.5
83	9967918.844354633	0.02%	29.28%	1.5
84	9966187.041786725	0.02%	29.28%	1.5
85	9964447.416001381	0.02%	29.27%	1.5
86	9962797.67306265	0.02%	29.27%	1.5
87	9961151.327528363	0.02%	29.26%	1.5
88	9959570.841897119	0.02%	29.26%	1.5
89	9957706.35953597	0.02%	29.25%	1.5
90	9956011.547107838	0.02%	29.24%	1.6
91	9954307.788521968	0.02%	29.25%	1.5
92	9952270.742297087	0.02%	29.23%	1.6
93	9950407.501073018	0.02%	29.22%	1.6
94	9948757.912010074	0.02%	29.22%	1.5
95	9947013.034303047	0.02%	29.21%	1.5
96	9945267.108394511	0.02%	29.21%	1.5
97	9943684.116828429	0.02%	29.20%	1.5
98	9942061.130247567	0.02%	29.20%	1.6
99	9940511.131445529	0.02%	29.19%	1.5
100	9938990.979824264	0.02%	29.18%	1.6
