27077,27077,9900
27077,27075,1
27077,27029,10
27077,27125,3
27077,27061,78
27077,27107,3
27077,27087,1
27077,27021,22
27077,27057,19
27077,27027,10
27077,27069,14
27077,27005,8
27077,27001,6
27077,27159,4
27077,27035,18
27077,27017,10
27077,27111,3
27077,27167,1
27077,27115,5
27077,27153,2
27077,27097,10
27077,27135,829
27077,27095,5
27077,27065,2
27077,27041,3
27077,27009,4
27077,27145,8
27077,27059,4
27077,27071,143
27077,27025,3
27077,27141,7
27077,27151,0
27077,27067,1
27077,27171,6
27077,27003,11
27077,27093,1
27077,27073,0
27077,27163,4
27077,27089,16
27077,27053,11
27077,27123,4
27077,27085,1
27077,27019,3
27077,27037,4
27077,27129,0
27077,27139,1
27077,27143,0
27077,27137,41
27077,27049,1
27077,27081,0
27077,27083,1
27077,27079,1
27077,27131,0
27077,27015,4
27077,27103,0
27077,27157,0
27077,27013,1
27077,27007,186
27077,27147,1
27077,27039,1
27077,27109,2
27077,27119,22
27077,27113,30
27031,27031,14850
27031,27075,492
27031,27061,1
27031,27021,0
27031,27001,3
27031,27035,5
27031,27017,39
27031,27115,32
27031,27097,0
27031,27095,2
27031,27065,1
27031,27009,1
27031,27145,4
27031,27059,1
27031,27025,6
27031,27141,1
27031,27067,0
27031,27171,6
27031,27003,10
27031,27163,7
27031,27053,25
27031,27123,11
27031,27019,3
27031,27037,9
27031,27139,1
27031,27143,0
27031,27137,246
27031,27049,1
27031,27131,1
27031,27007,0
27031,27169,3
27031,27039,0
27031,27109,2
27031,27043,0
27075,27031,483
27075,27075,23139
27075,27061,9
27075,27021,1
27075,27057,0
27075,27001,17
27075,27159,3
27075,27035,13
27075,27017,208
27075,27111,1
27075,27115,97
27075,27097,0
27075,27135,2
27075,27095,5
27075,27065,2
27075,27041,0
27075,27009,3
27075,27145,13
27075,27121,0
27075,27059,4
27075,27071,5
27075,27025,21
27075,27141,8
27075,27067,1
27075,27171,7
27075,27003,19
27075,27093,0
27075,27163,16
27075,27053,57
27075,27123,30
27075,27019,8
27075,27037,16
27075,27139,6
27075,27137,3409
27075,27127,0
27075,27049,1
27075,27079,1
27075,27131,1
27075,27015,1
27075,27157,0
27075,27013,1
27075,27007,4
27075,27117,0
27075,27169,1
27075,27147,0
27075,27039,1
27075,27109,2
27075,27119,1
27075,27091,1
27075,27045,0
27075,27047,1
27029,27077,5
27029,27075,3
27029,27029,7561
27029,27125,22
